decile,n,mean_8h,median_8h,mean_24h,median_24h,mean_72h,median_72h
0,1084,0.0008113483790674705,0.0005898855419537163,0.002053547480419579,0.0008888648505950281,0.003762213905423487,0.0025961280248810725
1,654,0.0005054790679871404,-1.2062839649940038e-06,0.001389134856323161,0.0009967136348023597,0.002010126196151398,0.0008630974463246233
2,616,0.0010713892107812042,0.0004112879575360884,0.000600922814032583,-6.88437381256013e-05,0.0049104813489061995,0.0035742900243608267
3,595,-0.0003930047296486406,-6.799291546988329e-05,-0.000553941262525937,0.00032037731860690144,-0.0031480989608259104,-0.0016272234943877084
4,587,-0.0008592418058511685,-2.70821323697934e-05,0.00020618081551012163,0.0004842684497310401,0.003518133765418803,0.003713659130344049
5,555,-0.0005722909099669384,-0.0006811425130771598,-0.002118854244002917,-0.0009396500706996269,-0.004775126177448288,-0.005902304961231675
6,528,-0.00013309736113001057,-0.00021984290145105057,-6.910290691252461e-05,-0.0010287678484023344,-0.0015085955686932866,-0.0008189935968589968
7,497,0.00034000112740682255,0.0006448568732304594,-0.000555704735373647,-0.00022429686138192295,0.0006464762968908323,0.00034528496536623265
8,386,0.00027454054009244444,0.0007851509002791968,0.0007431050395200719,0.0009517151481790442,0.0012415660465595543,0.0011548761217540227
9,342,-0.0006798190441743195,-0.00019365354016953606,0.0012145925291674818,0.0007247986462391998,0.004908190942397951,0.002030933593726747
