ts,entry_ts,exit_ts,leg,net_bp,year
1618041600005,1618041660000,1618300860000,top,-117.03333991224406,2021
1618761600000,1618761660000,1619020860000,bottom,69.61698779683292,2021
1618790400000,1618790460000,1619049660000,bottom,-422.36304121452895,2021
1618819200000,1618819260000,1619078460000,bottom,-562.1398697406526,2021
1618848000009,1618848060000,1619107260000,bottom,17.46850257417011,2021
1618876800004,1618876860000,1619136060000,bottom,-743.2454092653855,2021
1618905600000,1618905660000,1619164860000,bottom,-1152.066948579971,2021
1618934400001,1618934460000,1619193660000,bottom,-1039.1442200790561,2021
1618963200013,1618963260000,1619222460000,bottom,-946.6314069986286,2021
1618992000001,1618992060000,1619251260000,bottom,-1021.0600938577179,2021
1619020800002,1619020860000,1619280060000,bottom,-1092.3093641414432,2021
1619049600000,1619049660000,1619308860000,bottom,-715.4758438034552,2021
1619078400000,1619078460000,1619337660000,bottom,-837.0685487591116,2021
1619107200001,1619107260000,1619366460000,bottom,-801.2926735548624,2021
1619136000002,1619136060000,1619395260000,bottom,-489.77114332556846,2021
1619193600001,1619193660000,1619452860000,bottom,768.814191943233,2021
1619222400019,1619222460000,1619481660000,bottom,520.3898657919289,2021
1619366400000,1619366460000,1619625660000,bottom,787.6348085132763,2021
1619395200003,1619395260000,1619654460000,bottom,1149.7236344546563,2021
1619424000002,1619424060000,1619683260000,bottom,272.9317086775025,2021
1619452800004,1619452860000,1619712060000,bottom,-7.194559747460293,2021
1619481600000,1619481660000,1619740860000,bottom,-85.3399641797785,2021
1619510400000,1619510460000,1619769660000,bottom,-38.85483777539432,2021
1619539200009,1619539260000,1619798460000,bottom,376.7397933601442,2021
1619568000000,1619568060000,1619827260000,bottom,435.367184019287,2021
1619596800000,1619596860000,1619856060000,bottom,644.5729600794798,2021
1619625600001,1619625660000,1619884860000,bottom,554.4628601493014,2021
1619654400004,1619654460000,1619913660000,bottom,513.7581538701193,2021
1619683200013,1619683260000,1619942460000,bottom,412.7471618486929,2021
1619712000003,1619712060000,1619971260000,bottom,545.0073794024408,2021
1619740800004,1619740860000,1620000060000,bottom,566.742497626523,2021
1619769600019,1619769660000,1620028860000,bottom,796.8856083475135,2021
1619798400003,1619798460000,1620057660000,bottom,97.36740613794328,2021
1619856000006,1619856060000,1620115260000,bottom,-345.99864714893556,2021
1620892800000,1620892860000,1621152060000,bottom,-319.6527541942189,2021
1621036800022,1621036860000,1621296060000,bottom,-1242.4324761740706,2021
1621209600005,1621209660000,1621468860000,bottom,-2029.72232037451,2021
1621382400000,1621382460000,1621641660000,bottom,-1324.9661219214208,2021
1621440000018,1621440060000,1621699260000,bottom,295.1248175212047,2021
1621468800005,1621468860000,1621728060000,bottom,32.43275445569195,2021
1621497600000,1621497660000,1621756860000,bottom,-1038.2624053151483,2021
1621526400005,1621526460000,1621785660000,bottom,-1927.0053769680844,2021
1621555200000,1621555260000,1621814460000,bottom,-1457.1127485653483,2021
1621584000000,1621584060000,1621843260000,bottom,-871.3377203527799,2021
1621612800001,1621612860000,1621872060000,bottom,346.17348204582686,2021
1621641600001,1621641660000,1621900860000,bottom,335.3699762713143,2021
1621670400002,1621670460000,1621929660000,bottom,707.1798018972893,2021
1621699200005,1621699260000,1621958460000,bottom,-41.70545395288093,2021
1621728000006,1621728060000,1621987260000,bottom,258.0396126494107,2021
1621756800004,1621756860000,1622016060000,bottom,1294.0592090091004,2021
1621785600002,1621785660000,1622044860000,bottom,1680.4191929470699,2021
1621814400007,1621814460000,1622073660000,bottom,1243.3767017988157,2021
1621843200005,1621843260000,1622102460000,bottom,454.561436347068,2021
1621872000005,1621872060000,1622131260000,bottom,511.08888143885326,2021
1621900800000,1621900860000,1622160060000,bottom,-98.2173650269007,2021
1621929600014,1621929660000,1622188860000,bottom,-546.4901214204591,2021
1621958400000,1621958460000,1622217660000,bottom,-368.41706426843746,2021
1621987200022,1621987260000,1622246460000,bottom,-690.0985786934415,2021
1622016000018,1622016060000,1622275260000,bottom,-1080.3038424087613,2021
1622044800004,1622044860000,1622304060000,bottom,-1185.7954773511763,2021
1622073600000,1622073660000,1622332860000,bottom,-1177.6930545793346,2021
1622102400017,1622102460000,1622361660000,bottom,-590.9109618493795,2021
1622131200000,1622131260000,1622390460000,bottom,-1059.0882002791961,2021
1622160000005,1622160060000,1622419260000,bottom,-739.4579711703557,2021
1622188800009,1622188860000,1622448060000,bottom,-303.99992130259943,2021
1622217600000,1622217660000,1622476860000,bottom,52.36598692781436,2021
