ts,entry_ts,exit_ts,leg,net_bp,year
1618012800011,1618012860000,1618099260000,bottom,351.54938784983506,2021
1618041600005,1618041660000,1618128060000,top,152.64444127668875,2021
1618214400001,1618214460000,1618300860000,top,56.563271428505374,2021
1618329600008,1618329660000,1618416060000,top,-331.3999352869683,2021
1618387200000,1618387260000,1618473660000,top,-433.6638655462182,2021
1618790400000,1618790460000,1618876860000,bottom,-328.8322246331925,2021
1618819200000,1618819260000,1618905660000,bottom,-790.4641599725041,2021
1618876800004,1618876860000,1618963260000,bottom,741.8966007425095,2021
1618934400001,1618934460000,1619020860000,bottom,1128.6423690205013,2021
1618963200013,1618963260000,1619049660000,bottom,115.72515205173619,2021
1618992000001,1618992060000,1619078460000,bottom,752.8160850075867,2021
1619020800002,1619020860000,1619107260000,bottom,674.9333186142843,2021
1619107200001,1619107260000,1619193660000,bottom,-1094.5145525970527,2021
1619193600001,1619193660000,1619280060000,bottom,-397.26121544023374,2021
1619280000011,1619280060000,1619366460000,bottom,467.79231736575014,2021
1619308800000,1619308860000,1619395260000,bottom,454.09008798076593,2021
1619337600010,1619337660000,1619424060000,bottom,1167.7039411379037,2021
1619366400000,1619366460000,1619452860000,bottom,683.2984471389077,2021
1619395200003,1619395260000,1619481660000,bottom,890.1249085982183,2021
1619424000002,1619424060000,1619510460000,bottom,362.97588624758805,2021
1619452800004,1619452860000,1619539260000,bottom,614.7782373528472,2021
1619481600000,1619481660000,1619568060000,bottom,526.0181452408193,2021
1619510400000,1619510460000,1619596860000,bottom,235.13280281269934,2021
1619625600001,1619625660000,1619712060000,bottom,309.84486917795607,2021
1619654400004,1619654460000,1619740860000,bottom,26.70926526870133,2021
1619683200013,1619683260000,1619769660000,bottom,158.4295729530856,2021
1619712000003,1619712060000,1619798460000,bottom,-164.12078683998675,2021
1619827200002,1619827260000,1619913660000,bottom,623.9959633305776,2021
1619971200007,1619971260000,1620057660000,bottom,796.601986425863,2021
1620000000003,1620000060000,1620086460000,bottom,1640.6599334125879,2021
1620028800000,1620028860000,1620115260000,bottom,558.221286441168,2021
1620777600004,1620777660000,1620864060000,bottom,-832.6086460005226,2021
1620921600008,1620921660000,1621008060000,bottom,997.3889543832499,2021
1620950400007,1620950460000,1621036860000,bottom,976.7963962214806,2021
1620979200001,1620979260000,1621065660000,bottom,38.077704875852504,2021
1621008000004,1621008060000,1621094460000,bottom,-733.358688120717,2021
1621324800001,1621324860000,1621411260000,bottom,-1529.6514911871466,2021
1621382400000,1621382460000,1621468860000,bottom,-2643.8643711052528,2021
1621440000018,1621440060000,1621526460000,bottom,583.0280941422135,2021
1621497600000,1621497660000,1621584060000,bottom,-48.015367987798584,2021
1621526400005,1621526460000,1621612860000,bottom,-1703.2393514053572,2021
1621555200000,1621555260000,1621641660000,bottom,-1228.5343432232403,2021
1621584000000,1621584060000,1621670460000,bottom,-1653.0532324616624,2021
1621612800001,1621612860000,1621699260000,bottom,-139.8552101552424,2021
1621641600001,1621641660000,1621728060000,bottom,-632.9093414706159,2021
1621670400002,1621670460000,1621756860000,bottom,-463.5804478480459,2021
1621699200005,1621699260000,1621785660000,bottom,-1941.4475154938152,2021
1621728000006,1621728060000,1621814460000,bottom,-786.7149515140397,2021
1621756800004,1621756860000,1621843260000,bottom,615.5813953488372,2021
1621785600002,1621785660000,1621872060000,bottom,3229.7301325457033,2021
1621814400007,1621814460000,1621900860000,bottom,2459.797926577337,2021
1621843200005,1621843260000,1621929660000,bottom,1634.1429621591337,2021
1621872000005,1621872060000,1621958460000,bottom,197.74963324410047,2021
1621900800000,1621900860000,1621987260000,bottom,315.93747673420336,2021
1621929600014,1621929660000,1622016060000,bottom,864.2804036032799,2021
1621958400000,1621958460000,1622044860000,bottom,635.8404634305022,2021
1621987200022,1621987260000,1622073660000,bottom,573.0239898804175,2021
1622016000018,1622016060000,1622102460000,bottom,-575.2227279319848,2021
1622044800004,1622044860000,1622131260000,bottom,214.1932880049431,2021
1622073600000,1622073660000,1622160060000,bottom,-518.0081691627984,2021
1622102400017,1622102460000,1622188860000,bottom,-660.1420261222705,2021
1622131200000,1622131260000,1622217660000,bottom,-949.1382480288373,2021
1622160000005,1622160060000,1622246460000,bottom,-1211.8741848054685,2021
1622188800009,1622188860000,1622275260000,bottom,-277.85678357563893,2021
1622217600000,1622217660000,1622304060000,bottom,-955.1372549019603,2021
1622246400006,1622246460000,1622332860000,bottom,-535.4605382898895,2021
1622275200000,1622275260000,1622361660000,bottom,-135.52352333854253,2021
1622304000000,1622304060000,1622390460000,bottom,324.78641218003213,2021
1622332800003,1622332860000,1622419260000,bottom,387.837774329028,2021
1622361600004,1622361660000,1622448060000,bottom,-57.47331007165556,2021
1622390400018,1622390460000,1622476860000,bottom,1049.8244419600796,2021
1622419200002,1622419260000,1622505660000,bottom,1328.4903484667138,2021
1622448000000,1622448060000,1622534460000,bottom,839.1260594128964,2021
1622476800000,1622476860000,1622563260000,bottom,-347.26521189551704,2021
1622505600001,1622505660000,1622592060000,bottom,-191.4666413992232,2021
1622534400010,1622534460000,1622620860000,bottom,143.3484472143183,2021
1622563200010,1622563260000,1622649660000,bottom,930.9629641229618,2021
1622592000008,1622592060000,1622678460000,bottom,189.55974200382266,2021
1622620800000,1622620860000,1622707260000,bottom,409.42078644816536,2021
1622649600007,1622649660000,1622736060000,bottom,-9.8149267612173,2021
1622678400019,1622678460000,1622764860000,bottom,561.2875139956836,2021
1622707200002,1622707260000,1622793660000,bottom,-739.7442459788499,2021
1622736000003,1622736060000,1622822460000,bottom,-534.0549195157366,2021
1622764800003,1622764860000,1622851260000,bottom,-554.1359542565453,2021
1622793600006,1622793660000,1622880060000,bottom,658.8042068468576,2021
1622822400002,1622822460000,1622908860000,bottom,-43.87134952873394,2021
1622851200000,1622851260000,1622937660000,bottom,-259.55656028106057,2021
1622880000004,1622880060000,1622966460000,bottom,-330.0215756548468,2021
1622908800020,1622908860000,1622995260000,bottom,316.9689988462061,2021
1622937600000,1622937660000,1623024060000,bottom,310.11382546255754,2021
1622966400004,1622966460000,1623052860000,bottom,252.7413280328712,2021
1622995200000,1622995260000,1623081660000,bottom,197.13609233450737,2021
1623024000007,1623024060000,1623110460000,bottom,-408.8244836075532,2021
1623052800007,1623052860000,1623139260000,bottom,-920.7562442433763,2021
1623081600003,1623081660000,1623168060000,bottom,-1526.0131965861005,2021
1623110400000,1623110460000,1623196860000,bottom,-375.477633212266,2021
1623139200000,1623139260000,1623225660000,bottom,-116.32332741478723,2021
1623168000002,1623168060000,1623254460000,bottom,857.0328860648265,2021
1623196800009,1623196860000,1623283260000,bottom,336.78723412712566,2021
1623225600002,1623225660000,1623312060000,bottom,193.926156315843,2021
1623254400000,1623254460000,1623340860000,bottom,-261.2475156715748,2021
1623283200007,1623283260000,1623369660000,bottom,-531.2771330481329,2021
1623312000003,1623312060000,1623398460000,bottom,-402.5892214062181,2021
1623340800000,1623340860000,1623427260000,bottom,-381.1633107658478,2021
1623369600010,1623369660000,1623456060000,bottom,-487.8956473847045,2021
1623398400007,1623398460000,1623484860000,bottom,-529.4373506986476,2021
1623427200006,1623427260000,1623513660000,bottom,-112.24726872592949,2021
1623456000005,1623456060000,1623542460000,bottom,77.35739489010587,2021
1623484800000,1623484860000,1623571260000,bottom,-0.846134272935327,2021
1623513600018,1623513660000,1623600060000,bottom,-201.4148778837059,2021
1623542400002,1623542460000,1623628860000,bottom,577.1222138436844,2021
1623571200000,1623571260000,1623657660000,bottom,754.0380401075038,2021
1623600000003,1623600060000,1623686460000,bottom,961.1102709514803,2021
1623628800000,1623628860000,1623715260000,bottom,252.41634614237296,2021
1623657600015,1623657660000,1623744060000,bottom,457.14492336245206,2021
1623686400000,1623686460000,1623772860000,bottom,-109.04265281500834,2021
1623715200000,1623715260000,1623801660000,bottom,-169.47694966080218,2021
1623744000000,1623744060000,1623830460000,bottom,-349.84555382811243,2021
1623772800004,1623772860000,1623859260000,bottom,-546.9986018039478,2021
1623801600004,1623801660000,1623888060000,bottom,-683.3139600780818,2021
1623830400001,1623830460000,1623916860000,bottom,-356.6154667088277,2021
1623859200000,1623859260000,1623945660000,bottom,-38.86347840476522,2021
1623888000004,1623888060000,1623974460000,bottom,-25.219415493759488,2021
1623916800000,1623916860000,1624003260000,bottom,-438.1856200911065,2021
1623945600002,1623945660000,1624032060000,bottom,-797.0573285390196,2021
1623974400009,1623974460000,1624060860000,bottom,-599.4161124552926,2021
1624003200014,1624003260000,1624089660000,bottom,-438.7252770737253,2021
1624032000007,1624032060000,1624118460000,bottom,89.98761687919978,2021
1624060800003,1624060860000,1624147260000,bottom,-312.6647769320827,2021
1624089600001,1624089660000,1624176060000,bottom,-179.11476346495635,2021
1624118400000,1624118460000,1624204860000,bottom,-615.0714810575856,2021
1624147200005,1624147260000,1624233660000,bottom,398.15903837263033,2021
1624176000000,1624176060000,1624262460000,bottom,-885.114298292992,2021
1624204800002,1624204860000,1624291260000,bottom,-649.3884350776107,2021
1624233600019,1624233660000,1624320060000,bottom,-1603.547765468552,2021
1624262400000,1624262460000,1624348860000,bottom,-366.8493442182823,2021
1624291200024,1624291260000,1624377660000,bottom,-557.5079588346614,2021
1624320000008,1624320060000,1624406460000,bottom,-99.52603792710278,2021
1624348800009,1624348860000,1624435260000,bottom,327.3266541948179,2021
1624377600001,1624377660000,1624464060000,bottom,565.1332263242377,2021
1624406400003,1624406460000,1624492860000,bottom,448.8426590555712,2021
1624435200000,1624435260000,1624521660000,bottom,-463.31725306488477,2021
1624464000000,1624464060000,1624550460000,bottom,26.561590904493187,2021
1624492800009,1624492860000,1624579260000,bottom,134.10064736777707,2021
1624521600018,1624521660000,1624608060000,bottom,104.50097054955988,2021
1624550400001,1624550460000,1624636860000,bottom,-813.8448565930904,2021
1624579200009,1624579260000,1624665660000,bottom,-904.1292891603729,2021
1624608000004,1624608060000,1624694460000,bottom,-967.5621277363792,2021
1624636800000,1624636860000,1624723260000,bottom,-281.7295548243341,2021
1624665600007,1624665660000,1624752060000,bottom,46.55634768151741,2021
1624694400000,1624694460000,1624780860000,bottom,596.8628237869395,2021
1624723200002,1624723260000,1624809660000,bottom,336.53471874525457,2021
1624752000005,1624752060000,1624838460000,bottom,760.3407624665522,2021
1624780800010,1624780860000,1624867260000,bottom,959.836896959277,2021
1624809600001,1624809660000,1624896060000,bottom,1492.5656455855824,2021
1624838400025,1624838460000,1624924860000,bottom,576.4012188928398,2021
1624867200017,1624867260000,1624953660000,bottom,417.3961628652696,2021
1624896000007,1624896060000,1624982460000,bottom,487.11710996802117,2021
1624924800008,1624924860000,1625011260000,bottom,373.6753386884069,2021
1624953600000,1624953660000,1625040060000,bottom,111.49336161705504,2021
1624982400000,1624982460000,1625068860000,bottom,-565.422299789488,2021
1625155200028,1625155260000,1625241660000,bottom,-33.750456051698116,2021
1625184000002,1625184060000,1625270460000,bottom,226.87695154937583,2021
1625212800016,1625212860000,1625299260000,bottom,668.4876773058274,2021
1625241600007,1625241660000,1625328060000,bottom,482.6749792186187,2021
1625299200000,1625299260000,1625385660000,bottom,608.093393642098,2021
1625328000004,1625328060000,1625414460000,bottom,511.45850506650277,2021
1625443200004,1625443260000,1625529660000,bottom,-540.7747673073264,2021
1625529600008,1625529660000,1625616060000,bottom,551.8649069879784,2021
1625558400019,1625558460000,1625644860000,bottom,124.5245131132562,2021
1625702400002,1625702460000,1625788860000,bottom,-843.9346235441818,2021
1625817600006,1625817660000,1625904060000,bottom,-14.942369399380416,2021
1626163200013,1626163260000,1626249660000,bottom,-656.4499810319606,2021
1626278400005,1626278460000,1626364860000,bottom,-403.49584043299626,2021
1626652800002,1626652860000,1626739260000,bottom,-379.5337258788549,2021
1626739200002,1626739260000,1626825660000,bottom,-189.31603093747572,2021
1626768000011,1626768060000,1626854460000,bottom,625.019375067451,2021
1626796800001,1626796860000,1626883260000,bottom,825.6997423825181,2021
1626854400000,1626854460000,1626940860000,bottom,599.3442960795721,2021
1626883200018,1626883260000,1626969660000,bottom,384.54330144030837,2021
1627142400001,1627142460000,1627228860000,bottom,-97.89456707149967,2021
1627171200003,1627171260000,1627257660000,bottom,-20.73218718228119,2021
1628352000002,1628352060000,1628438460000,top,151.6777475352711,2021
1628380800000,1628380860000,1628467260000,top,403.3225847403839,2021
1628467200000,1628467260000,1628553660000,top,-473.5420808065409,2021
1628496000000,1628496060000,1628582460000,top,-670.0354584454386,2021
1628553600000,1628553660000,1628640060000,top,28.71609785754471,2021
1628640000006,1628640060000,1628726460000,top,-43.860998483099976,2021
1628668800003,1628668860000,1628755260000,top,294.67776496203646,2021
1628755200001,1628755260000,1628841660000,top,-294.5772565991505,2021
1628784000000,1628784060000,1628870460000,top,-641.9741756517998,2021
1628870400002,1628870460000,1628956860000,top,-173.5247194956362,2021
1628928000000,1628928060000,1629014460000,top,447.4910640662806,2021
1628956800000,1628956860000,1629043260000,top,326.80100316547737,2021
1628985600003,1628985660000,1629072060000,top,-168.81628569417927,2021
1629014400000,1629014460000,1629100860000,top,-391.45408486383747,2021
1629072000012,1629072060000,1629158460000,top,500.58425605379944,2021
1629417600000,1629417660000,1629504060000,top,-317.1824586619281,2021
1629446400001,1629446460000,1629532860000,top,-252.4674434288603,2021
1629475200001,1629475260000,1629561660000,top,47.053290887917996,2021
1629561600000,1629561660000,1629648060000,top,269.67774599629803,2021
1629590400005,1629590460000,1629676860000,top,-59.96974794081055,2021
1629619200007,1629619260000,1629705660000,top,-190.51305645970393,2021
1629705600005,1629705660000,1629792060000,top,-83.17013870100908,2021
1629734400002,1629734460000,1629820860000,top,347.2054201844794,2021
1629763200006,1629763260000,1629849660000,top,421.6843355024864,2021
1629792000004,1629792060000,1629878460000,top,475.88085108923826,2021
1629820800000,1629820860000,1629907260000,top,-35.757562155557686,2021
1629849600015,1629849660000,1629936060000,top,-154.0377121307361,2021
1629878400000,1629878460000,1629964860000,top,243.44781039083398,2021
1630137600000,1630137660000,1630224060000,top,76.9756934462258,2021
1630195200000,1630195260000,1630281660000,top,58.8282349464715,2021
1630425600003,1630425660000,1630512060000,top,-585.6407705184733,2021
1630540800009,1630540860000,1630627260000,top,83.56301379879484,2021
1630569600006,1630569660000,1630656060000,top,-170.21157526703567,2021
1630598400007,1630598460000,1630684860000,top,-585.5007579585651,2021
1630627200011,1630627260000,1630713660000,top,-400.73931159611374,2021
1630656000000,1630656060000,1630742460000,top,-332.04017349559956,2021
1630684800002,1630684860000,1630771260000,top,123.05694857093832,2021
1630713600003,1630713660000,1630800060000,top,108.02274406453051,2021
1630742400008,1630742460000,1630828860000,top,101.70365986797171,2021
1630771200009,1630771260000,1630857660000,top,4.262930077975746,2021
1630800000002,1630800060000,1630886460000,top,-170.99579750934944,2021
1630828800002,1630828860000,1630915260000,top,-209.2774193548379,2021
1630857600000,1630857660000,1630944060000,top,-61.248521088070206,2021
1630886400003,1630886460000,1630972860000,top,43.57117948795853,2021
1630915200008,1630915260000,1631001660000,top,153.08558295175257,2021
1630944000009,1630944060000,1631030460000,top,1206.2175063074794,2021
1630972800004,1630972860000,1631059260000,top,1213.6781169188166,2021
1631001600002,1631001660000,1631088060000,top,1564.6194930830488,2021
1632441600000,1632441660000,1632528060000,bottom,-732.5885310210882,2021
1632499200000,1632499260000,1632585660000,bottom,138.51438404978447,2021
1632528000007,1632528060000,1632614460000,bottom,-31.986903072476636,2021
1632556800002,1632556860000,1632643260000,bottom,-426.0385593880338,2021
1632787200000,1632787260000,1632873660000,bottom,-406.00375359176974,2021
1632844800000,1632844860000,1632931260000,bottom,54.34594374034886,2021
1632873600000,1632873660000,1632960060000,bottom,136.42364574162193,2021
1632902400002,1632902460000,1632988860000,bottom,276.7383046945644,2021
1632960000000,1632960060000,1633046460000,bottom,511.3879569182574,2021
1633564800007,1633564860000,1633651260000,top,-66.65396107747566,2021
1633968000006,1633968060000,1634054460000,top,251.5946231183692,2021
1634227200000,1634227260000,1634313660000,top,25.00272704127738,2021
1634256000005,1634256060000,1634342460000,top,-219.40742829583624,2021
1634284800002,1634284860000,1634371260000,top,-127.77972685521654,2021
1634400000003,1634400060000,1634486460000,top,290.4807429105001,2021
1634457600002,1634457660000,1634544060000,top,96.92038181317432,2021
1634486400002,1634486460000,1634572860000,top,55.5527358025072,2021
1634544000004,1634544060000,1634630460000,top,72.86894448246885,2021
1634745600020,1634745660000,1634832060000,top,-47.58860344577774,2021
1634774400000,1634774460000,1634860860000,top,242.98157694440948,2021
1634803200000,1634803260000,1634889660000,top,51.36104366750561,2021
1634832000008,1634832060000,1634918460000,top,278.72064779309324,2021
1635062400012,1635062460000,1635148860000,top,-143.02392607988978,2021
1635148800002,1635148860000,1635235260000,top,-128.34166337891185,2021
1635177600022,1635177660000,1635264060000,top,32.19946488389593,2021
1635264000000,1635264060000,1635350460000,top,449.28031273329185,2021
1635321600000,1635321660000,1635408060000,top,241.72726303237147,2021
1635408000000,1635408060000,1635494460000,bottom,737.6969831134945,2021
1635436800005,1635436860000,1635523260000,bottom,692.6088783440416,2021
1635580800001,1635580860000,1635667260000,top,66.21905885485236,2021
1635667200010,1635667260000,1635753660000,bottom,-30.08100197368234,2021
1635840000007,1635840060000,1635926460000,top,-618.4911363991789,2021
