ts,leg,net_bp,year
1618041600005,top,89.73604235807355,2021
1618761600000,bottom,-98.57416838032916,2021
1618790400000,bottom,394.36126300934916,2021
1618819200000,bottom,533.883494901803,2021
1618848000009,bottom,8.035899154452252,2021
1618876800004,bottom,684.6098192513634,2021
1618905600000,bottom,1125.0476555147932,2021
1618934400001,bottom,1005.4246802093809,2021
1618963200013,bottom,927.1117382089285,2021
1618992000001,bottom,998.7939877669223,2021
1619020800002,bottom,1046.7325221272035,2021
1619049600000,bottom,687.4775676677787,2021
1619078400000,bottom,809.7381512116937,2021
1619107200001,bottom,778.1969460160383,2021
1619136000002,bottom,491.93822393822484,2021
1619193600001,bottom,-811.2773639259967,2021
1619222400019,bottom,-559.821770568693,2021
1619366400000,bottom,-815.8131193824374,2021
1619395200003,bottom,-1184.7643306403281,2021
1619424000002,bottom,-308.00189013643495,2021
1619452800004,bottom,-21.487102390826283,2021
1619481600000,bottom,57.360089208920556,2021
1619510400000,bottom,10.766831400038214,2021
1619539200009,bottom,-418.78100846922825,2021
1619568000000,bottom,-462.8756541445538,2021
1619596800000,bottom,-672.4769547725,2021
1619625600001,bottom,-568.5083471302048,2021
1619654400004,bottom,-528.4222551771604,2021
1619683200013,bottom,-454.2744051379948,2021
1619712000003,bottom,-548.7570698416071,2021
1619740800004,bottom,-614.0619088795501,2021
1619769600019,bottom,-816.3779221280081,2021
1619798400003,bottom,-99.45915027831307,2021
1619856000006,bottom,307.5020398225366,2021
1620892800000,bottom,291.6547183541902,2021
1621036800022,bottom,1229.135348148493,2021
1621209600005,bottom,2077.7543664602968,2021
1621382400000,bottom,1296.9967639393494,2021
1621440000018,bottom,-369.39932500852746,2021
1621468800005,bottom,-51.63438817454556,2021
1621497600000,bottom,1009.0881751509812,2021
1621526400005,bottom,1790.0911918507873,2021
1621555200000,bottom,1429.256257254636,2021
1621584000000,bottom,844.8926822532583,2021
1621612800001,bottom,-404.7880506832706,2021
1621641600001,bottom,-307.4953189097711,2021
1621670400002,bottom,-709.5926469850748,2021
1621699200005,bottom,87.65927774698935,2021
1621728000006,bottom,-359.18317958301736,2021
1621756800004,bottom,-1355.010751264673,2021
1621785600002,bottom,-1620.8711984572826,2021
1621814400007,bottom,-1114.5745558390045,2021
1621843200005,bottom,-498.81221213837466,2021
1621872000005,bottom,-500.5429609588756,2021
1621900800000,bottom,70.21734322844543,2021
1621929600014,bottom,563.7133696158764,2021
1621958400000,bottom,340.41706426843746,2021
1621987200022,bottom,613.2574640713657,2021
1622016000018,bottom,1017.2096184831587,2021
1622044800004,bottom,1205.5952348564076,2021
1622073600000,bottom,1149.7083789659498,2021
1622102400017,bottom,535.5365740477808,2021
1622131200000,bottom,1031.0882002791961,2021
1622160000005,bottom,704.4045867476497,2021
1622188800009,bottom,259.1023883100414,2021
1622217600000,bottom,-80.60022623159011,2021
1622246400006,bottom,-379.4402507392929,2021
1622275200000,bottom,-214.19728095381106,2021
1622332800003,bottom,-698.4058986432522,2021
1622361600004,bottom,-343.01418155503404,2021
1622390400018,bottom,-749.0389021922754,2021
1622419200002,bottom,-586.9769432184817,2021
1622448000000,bottom,-798.1880730034934,2021
1622476800000,bottom,-456.34831412336416,2021
1622505600001,bottom,-559.3199395574537,2021
1622534400010,bottom,79.53458682719196,2021
1622563200010,bottom,-159.1617825317042,2021
1622592000008,bottom,35.737713079313075,2021
1622620800000,bottom,-97.13983107655076,2021
1622649600007,bottom,485.22330097087354,2021
1622678400019,bottom,490.0192848842229,2021
1622707200002,bottom,595.7047607133821,2021
1622736000003,bottom,618.452047693105,2021
1622764800003,bottom,833.8713292336304,2021
1622822400002,bottom,229.7345550457548,2021
1622851200000,bottom,814.2739994183785,2021
1622880000004,bottom,1177.473760134175,2021
1622908800020,bottom,1202.6746852720412,2021
1622937600000,bottom,589.8431471171613,2021
1622966400004,bottom,560.2596915443631,2021
1622995200000,bottom,-48.59482675811864,2021
1623024000007,bottom,-402.6362901508433,2021
1623052800007,bottom,-202.91436464088417,2021
1623081600003,bottom,-291.19725124854875,2021
1623110400000,bottom,-866.33277323153,2021
1623139200000,bottom,-1247.2715973813936,2021
1623168000002,bottom,-1597.0545003347263,2021
1623196800009,bottom,-1129.7626952300582,2021
1623225600002,bottom,-341.6029812531056,2021
1623254400000,bottom,257.44723352411916,2021
1623283200007,bottom,455.38803436415765,2021
1623312000003,bottom,424.50062371437735,2021
1623340800000,bottom,222.78155379110666,2021
1623369600010,bottom,-753.5000927280604,2021
1623398400007,bottom,-650.9033779318368,2021
1623427200006,bottom,-1034.1769161962338,2021
1623456000005,bottom,-904.4928647643651,2021
1623484800000,bottom,-1457.1833667309113,2021
1623513600018,bottom,-1344.0563305478818,2021
1623542400002,bottom,-1285.7699849750043,2021
1623571200000,bottom,-1385.4798874823387,2021
1623600000003,bottom,-788.8892886548231,2021
1623628800000,bottom,167.01982481160462,2021
1623657600015,bottom,35.13238211001647,2021
1623686400000,bottom,400.59178847733426,2021
1623715200000,bottom,592.5010743973509,2021
1623744000000,bottom,650.4727769598013,2021
1623772800004,bottom,874.4301641934089,2021
1623801600004,bottom,1079.434676449314,2021
1623830400001,bottom,1084.1430323056306,2021
1623859200000,bottom,681.7014128619987,2021
1623888000004,bottom,771.593832874073,2021
1623916800000,bottom,899.4664289576666,2021
1623945600002,bottom,1128.5669514585868,2021
1623974400009,bottom,641.2332927585447,2021
1624003200014,bottom,1258.8075549155471,2021
1624032000007,bottom,1031.1906360665287,2021
1624060800003,bottom,1148.7601771380625,2021
1624089600001,bottom,862.5077541642729,2021
1624118400000,bottom,1178.5183358776549,2021
1624204800002,bottom,243.80715936272958,2021
1624233600019,bottom,488.91331176700925,2021
1624291200024,bottom,-369.1276092303657,2021
1624377600001,bottom,-180.3377994417159,2021
1624406400003,bottom,327.3282745262358,2021
1624435200000,bottom,937.4578576382127,2021
1624464000000,bottom,592.2972888050466,2021
1624492800009,bottom,463.2490062993917,2021
1624550400001,bottom,233.9000077908644,2021
1624665600007,bottom,-957.8037483660366,2021
1624694400000,bottom,-1345.5472978307353,2021
