ts,entry_ts,exit_ts,leg,net_bp,year
1618012800011,1618012860000,1618099260000,bottom,-379.54938784983506,2021
1618041600005,1618041660000,1618128060000,top,-180.64444127668875,2021
1618214400001,1618214460000,1618300860000,top,-84.56327142850537,2021
1618329600008,1618329660000,1618416060000,top,303.3999352869683,2021
1618387200000,1618387260000,1618473660000,top,405.6638655462182,2021
1618790400000,1618790460000,1618876860000,bottom,300.8322246331925,2021
1618819200000,1618819260000,1618905660000,bottom,762.4641599725041,2021
1618876800004,1618876860000,1618963260000,bottom,-769.8966007425095,2021
1618934400001,1618934460000,1619020860000,bottom,-1156.6423690205013,2021
1618963200013,1618963260000,1619049660000,bottom,-143.7251520517362,2021
1618992000001,1618992060000,1619078460000,bottom,-780.8160850075867,2021
1619020800002,1619020860000,1619107260000,bottom,-702.9333186142843,2021
1619107200001,1619107260000,1619193660000,bottom,1066.5145525970527,2021
1619193600001,1619193660000,1619280060000,bottom,369.26121544023374,2021
1619280000011,1619280060000,1619366460000,bottom,-495.79231736575014,2021
1619308800000,1619308860000,1619395260000,bottom,-482.09008798076593,2021
1619337600010,1619337660000,1619424060000,bottom,-1195.7039411379037,2021
1619366400000,1619366460000,1619452860000,bottom,-711.2984471389077,2021
1619395200003,1619395260000,1619481660000,bottom,-918.1249085982183,2021
1619424000002,1619424060000,1619510460000,bottom,-390.97588624758805,2021
1619452800004,1619452860000,1619539260000,bottom,-642.7782373528472,2021
1619481600000,1619481660000,1619568060000,bottom,-554.0181452408193,2021
1619510400000,1619510460000,1619596860000,bottom,-263.1328028126993,2021
1619625600001,1619625660000,1619712060000,bottom,-337.84486917795607,2021
1619654400004,1619654460000,1619740860000,bottom,-54.70926526870133,2021
1619683200013,1619683260000,1619769660000,bottom,-186.4295729530856,2021
1619712000003,1619712060000,1619798460000,bottom,136.12078683998675,2021
1619827200002,1619827260000,1619913660000,bottom,-651.9959633305776,2021
1619971200007,1619971260000,1620057660000,bottom,-824.601986425863,2021
1620000000003,1620000060000,1620086460000,bottom,-1668.6599334125879,2021
1620028800000,1620028860000,1620115260000,bottom,-586.221286441168,2021
1620777600004,1620777660000,1620864060000,bottom,804.6086460005226,2021
1620921600008,1620921660000,1621008060000,bottom,-1025.38895438325,2021
1620950400007,1620950460000,1621036860000,bottom,-1004.7963962214806,2021
1620979200001,1620979260000,1621065660000,bottom,-66.0777048758525,2021
1621008000004,1621008060000,1621094460000,bottom,705.358688120717,2021
1621324800001,1621324860000,1621411260000,bottom,1501.6514911871466,2021
1621382400000,1621382460000,1621468860000,bottom,2615.8643711052528,2021
1621440000018,1621440060000,1621526460000,bottom,-611.0280941422135,2021
1621497600000,1621497660000,1621584060000,bottom,20.015367987798584,2021
1621526400005,1621526460000,1621612860000,bottom,1675.2393514053572,2021
1621555200000,1621555260000,1621641660000,bottom,1200.5343432232403,2021
1621584000000,1621584060000,1621670460000,bottom,1625.0532324616624,2021
1621612800001,1621612860000,1621699260000,bottom,111.85521015524237,2021
1621641600001,1621641660000,1621728060000,bottom,604.9093414706159,2021
1621670400002,1621670460000,1621756860000,bottom,435.5804478480459,2021
1621699200005,1621699260000,1621785660000,bottom,1913.4475154938152,2021
1621728000006,1621728060000,1621814460000,bottom,758.7149515140397,2021
1621756800004,1621756860000,1621843260000,bottom,-643.5813953488372,2021
1621785600002,1621785660000,1621872060000,bottom,-3257.7301325457033,2021
1621814400007,1621814460000,1621900860000,bottom,-2487.797926577337,2021
1621843200005,1621843260000,1621929660000,bottom,-1662.1429621591337,2021
1621872000005,1621872060000,1621958460000,bottom,-225.74963324410047,2021
1621900800000,1621900860000,1621987260000,bottom,-343.93747673420336,2021
1621929600014,1621929660000,1622016060000,bottom,-892.2804036032799,2021
1621958400000,1621958460000,1622044860000,bottom,-663.8404634305022,2021
1621987200022,1621987260000,1622073660000,bottom,-601.0239898804175,2021
1622016000018,1622016060000,1622102460000,bottom,547.2227279319848,2021
1622044800004,1622044860000,1622131260000,bottom,-242.1932880049431,2021
1622073600000,1622073660000,1622160060000,bottom,490.0081691627984,2021
1622102400017,1622102460000,1622188860000,bottom,632.1420261222705,2021
1622131200000,1622131260000,1622217660000,bottom,921.1382480288373,2021
1622160000005,1622160060000,1622246460000,bottom,1183.8741848054685,2021
1622188800009,1622188860000,1622275260000,bottom,249.85678357563893,2021
1622217600000,1622217660000,1622304060000,bottom,927.1372549019603,2021
1622246400006,1622246460000,1622332860000,bottom,507.46053828988954,2021
1622275200000,1622275260000,1622361660000,bottom,107.52352333854255,2021
1622304000000,1622304060000,1622390460000,bottom,-352.78641218003213,2021
1622332800003,1622332860000,1622419260000,bottom,-415.837774329028,2021
1622361600004,1622361660000,1622448060000,bottom,29.47331007165556,2021
1622390400018,1622390460000,1622476860000,bottom,-1077.8244419600796,2021
1622419200002,1622419260000,1622505660000,bottom,-1356.4903484667138,2021
1622448000000,1622448060000,1622534460000,bottom,-867.1260594128964,2021
1622476800000,1622476860000,1622563260000,bottom,319.26521189551704,2021
1622505600001,1622505660000,1622592060000,bottom,163.4666413992232,2021
1622534400010,1622534460000,1622620860000,bottom,-171.3484472143183,2021
1622563200010,1622563260000,1622649660000,bottom,-958.9629641229618,2021
1622592000008,1622592060000,1622678460000,bottom,-217.55974200382266,2021
1622620800000,1622620860000,1622707260000,bottom,-437.42078644816536,2021
1622649600007,1622649660000,1622736060000,bottom,-18.1850732387827,2021
1622678400019,1622678460000,1622764860000,bottom,-589.2875139956836,2021
1622707200002,1622707260000,1622793660000,bottom,711.7442459788499,2021
1622736000003,1622736060000,1622822460000,bottom,506.05491951573663,2021
1622764800003,1622764860000,1622851260000,bottom,526.1359542565453,2021
1622793600006,1622793660000,1622880060000,bottom,-686.8042068468576,2021
1622822400002,1622822460000,1622908860000,bottom,15.871349528733937,2021
1622851200000,1622851260000,1622937660000,bottom,231.55656028106054,2021
1622880000004,1622880060000,1622966460000,bottom,302.0215756548468,2021
1622908800020,1622908860000,1622995260000,bottom,-344.9689988462061,2021
1622937600000,1622937660000,1623024060000,bottom,-338.11382546255754,2021
1622966400004,1622966460000,1623052860000,bottom,-280.7413280328712,2021
1622995200000,1622995260000,1623081660000,bottom,-225.13609233450737,2021
1623024000007,1623024060000,1623110460000,bottom,380.8244836075532,2021
1623052800007,1623052860000,1623139260000,bottom,892.7562442433763,2021
1623081600003,1623081660000,1623168060000,bottom,1498.0131965861005,2021
1623110400000,1623110460000,1623196860000,bottom,347.477633212266,2021
1623139200000,1623139260000,1623225660000,bottom,88.32332741478723,2021
1623168000002,1623168060000,1623254460000,bottom,-885.0328860648265,2021
1623196800009,1623196860000,1623283260000,bottom,-364.78723412712566,2021
1623225600002,1623225660000,1623312060000,bottom,-221.926156315843,2021
1623254400000,1623254460000,1623340860000,bottom,233.24751567157477,2021
1623283200007,1623283260000,1623369660000,bottom,503.2771330481329,2021
1623312000003,1623312060000,1623398460000,bottom,374.5892214062181,2021
1623340800000,1623340860000,1623427260000,bottom,353.1633107658478,2021
1623369600010,1623369660000,1623456060000,bottom,459.8956473847045,2021
1623398400007,1623398460000,1623484860000,bottom,501.4373506986476,2021
1623427200006,1623427260000,1623513660000,bottom,84.24726872592949,2021
1623456000005,1623456060000,1623542460000,bottom,-105.35739489010587,2021
1623484800000,1623484860000,1623571260000,bottom,-27.153865727064673,2021
1623513600018,1623513660000,1623600060000,bottom,173.4148778837059,2021
1623542400002,1623542460000,1623628860000,bottom,-605.1222138436844,2021
1623571200000,1623571260000,1623657660000,bottom,-782.0380401075038,2021
1623600000003,1623600060000,1623686460000,bottom,-989.1102709514803,2021
1623628800000,1623628860000,1623715260000,bottom,-280.41634614237296,2021
1623657600015,1623657660000,1623744060000,bottom,-485.14492336245206,2021
1623686400000,1623686460000,1623772860000,bottom,81.04265281500834,2021
1623715200000,1623715260000,1623801660000,bottom,141.47694966080218,2021
1623744000000,1623744060000,1623830460000,bottom,321.84555382811243,2021
1623772800004,1623772860000,1623859260000,bottom,518.9986018039478,2021
1623801600004,1623801660000,1623888060000,bottom,655.3139600780818,2021
1623830400001,1623830460000,1623916860000,bottom,328.6154667088277,2021
1623859200000,1623859260000,1623945660000,bottom,10.863478404765218,2021
1623888000004,1623888060000,1623974460000,bottom,-2.780584506240512,2021
1623916800000,1623916860000,1624003260000,bottom,410.1856200911065,2021
1623945600002,1623945660000,1624032060000,bottom,769.0573285390196,2021
1623974400009,1623974460000,1624060860000,bottom,571.4161124552926,2021
1624003200014,1624003260000,1624089660000,bottom,410.7252770737253,2021
1624032000007,1624032060000,1624118460000,bottom,-117.98761687919978,2021
1624060800003,1624060860000,1624147260000,bottom,284.6647769320827,2021
1624089600001,1624089660000,1624176060000,bottom,151.11476346495635,2021
1624118400000,1624118460000,1624204860000,bottom,587.0714810575856,2021
1624147200005,1624147260000,1624233660000,bottom,-426.15903837263033,2021
1624176000000,1624176060000,1624262460000,bottom,857.114298292992,2021
1624204800002,1624204860000,1624291260000,bottom,621.3884350776107,2021
1624233600019,1624233660000,1624320060000,bottom,1575.547765468552,2021
1624262400000,1624262460000,1624348860000,bottom,338.8493442182823,2021
1624291200024,1624291260000,1624377660000,bottom,529.5079588346614,2021
1624320000008,1624320060000,1624406460000,bottom,71.52603792710278,2021
