ts,entry_ts,exit_ts,oi_chg_24h,horizon,gross_ret,net_bp,year
1680566100000,1680566160000,1680652560000,neg5pct,24h,0.033880131762209054,324.80131762209055,2023
1680825300000,1680825360000,1680911760000,neg5pct,24h,-0.0037106544974309097,-51.106544974309095,2023
1681084500000,1681084560000,1681170960000,neg5pct,24h,0.027104559227982827,257.04559227982827,2023
1681516500000,1681516560000,1681602960000,neg5pct,24h,-0.004213142147131643,-56.13142147131643,2023
1681948500000,1681948560000,1682034960000,neg5pct,24h,0.004586373249086062,31.86373249086062,2023
1682553300000,1682553360000,1682639760000,neg5pct,24h,0.023370049013824667,219.70049013824666,2023
1683417300000,1683417360000,1683503760000,neg5pct,24h,-0.013832418379239209,-152.3241837923921,2023
1683503700000,1683503760000,1683590160000,neg5pct,24h,-0.012395456781673198,-137.95456781673198,2023
1686095700000,1686095760000,1686182160000,neg5pct,24h,-0.027039805355900226,-284.3980535590023,2023
1686959700000,1686959760000,1687046160000,neg5pct,24h,0.005379630761706888,39.796307617068884,2023
1688342100000,1688342160000,1688428560000,neg5pct,24h,0.008692285854388748,72.92285854388749,2023
1688514900000,1688514960000,1688601360000,neg5pct,24h,-0.012981375447009835,-143.81375447009836,2023
1689378900000,1689378960000,1689465360000,neg5pct,24h,-0.0031708488475978847,-45.70848847597885,2023
1690156500000,1690156560000,1690242960000,neg5pct,24h,-0.020798475060891608,-221.98475060891607,2023
1690761300000,1690761360000,1690847760000,neg5pct,24h,-0.0030628858833201544,-44.62885883320155,2023
1691538900000,1691538960000,1691625360000,neg5pct,24h,-0.0005765365777435916,-19.765365777435917,2023
1692316500000,1692316560000,1692402960000,neg5pct,24h,-0.013771519855574232,-151.71519855574232,2023
1692402900000,1692402960000,1692489360000,neg5pct,24h,0.0042331037140517225,28.331037140517225,2023
1692489300000,1692489360000,1692575760000,neg5pct,24h,0.00949782641283159,80.97826412831589,2023
1696290900000,1696290960000,1696377360000,neg5pct,24h,-0.004252094472277146,-56.52094472277146,2023
1698105300000,1698105360000,1698191760000,neg5pct,24h,0.009483398387708952,80.83398387708952,2023
1698191700000,1698191760000,1698278160000,neg5pct,24h,0.0021830262692696945,7.8302626926969445,2023
1698969300000,1698969360000,1699055760000,neg5pct,24h,0.01814029980109577,167.40299801095773,2023
1699401300000,1699401360000,1699487760000,neg5pct,24h,0.000905576444421019,-4.94423555578981,2023
1702338900000,1702338960000,1702425360000,neg5pct,24h,-0.008774374511161254,-101.74374511161254,2023
1703894100000,1703894160000,1703980560000,neg5pct,24h,-0.002763763411422704,-41.63763411422704,2023
1704326100000,1704326160000,1704412560000,neg5pct,24h,0.02673390470590875,253.33904705908753,2024
1706054100000,1706054160000,1706140560000,neg5pct,24h,-0.0032201953525711202,-46.201953525711204,2024
1708991700000,1708991760000,1709078160000,neg5pct,24h,0.020469464076216415,190.69464076216414,2024
1709596500000,1709596560000,1709682960000,neg5pct,24h,-0.019652777969056956,-210.52777969056956,2024
1709682900000,1709682960000,1709769360000,neg5pct,24h,0.07524485977107087,738.4485977107087,2024
1710978900000,1710978960000,1711065360000,neg5pct,24h,-0.007176461887668295,-85.76461887668295,2024
1712966100000,1712966160000,1713052560000,neg5pct,24h,-0.07102235072545071,-724.2235072545071,2024
1713052500000,1713052560000,1713138960000,neg5pct,24h,0.04501323918799649,436.13239187996487,2024
1714607700000,1714607760000,1714694160000,neg5pct,24h,0.004802841344795583,34.02841344795583,2024
1718236500000,1718236560000,1718322960000,neg5pct,24h,-0.02594861371573587,-273.4861371573587,2024
1718668500000,1718668560000,1718754960000,neg5pct,24h,-0.008072714225916378,-94.72714225916377,2024
1720223700000,1720223760000,1720310160000,neg5pct,24h,0.02786880297303007,264.68802973030074,2024
1721951700000,1721951760000,1722038160000,neg5pct,24h,0.0320657824265147,306.657824265147,2024
1722124500000,1722124560000,1722210960000,neg5pct,24h,0.0056395890541540705,42.39589054154071,2024
1722729300000,1722729360000,1722815760000,neg5pct,24h,-0.07588575834130695,-772.8575834130695,2024
1722902100000,1722902160000,1722988560000,neg5pct,24h,0.016042935646186418,146.4293564618642,2024
1728345300000,1728345360000,1728431760000,neg5pct,24h,0.006950061906727312,55.50061906727312,2024
1728690900000,1728690960000,1728777360000,neg5pct,24h,0.016295779274100752,148.95779274100752,2024
1731282900000,1731282960000,1731369360000,neg5pct,24h,0.05956622092877395,581.6622092877395,2024
1733442900000,1733442960000,1733529360000,neg5pct,24h,0.057495040114968976,560.9504011496898,2024
1734738900000,1734738960000,1734825360000,neg5pct,24h,-0.03811013821299847,-395.1013821299847,2024
1738626900000,1738626960000,1738713360000,neg5pct,24h,-0.04760083981034746,-490.00839810347463,2025
1742514900000,1742514960000,1742601360000,neg5pct,24h,-0.009191621599806243,-105.91621599806243,2025
1746316500000,1746316560000,1746402960000,neg5pct,24h,-0.013137714026843161,-145.37714026843162,2025
1747007700000,1747007760000,1747094160000,neg5pct,24h,-0.006043670911340837,-74.43670911340837,2025
1747266900000,1747266960000,1747353360000,neg5pct,24h,-0.02703188936140888,-284.3188936140888,2025
1747612500000,1747612560000,1747698960000,neg5pct,24h,0.013434045216051738,120.34045216051737,2025
1748649300000,1748649360000,1748735760000,neg5pct,24h,-0.0006130140914141213,-20.130140914141215,2025
1749167700000,1749167760000,1749254160000,neg5pct,24h,0.02391905084970114,225.1905084970114,2025
1749858900000,1749858960000,1749945360000,neg5pct,24h,-0.017117183586453755,-185.17183586453754,2025
1750550100000,1750550160000,1750636560000,neg5pct,24h,-0.0252990808307606,-266.990808307606,2025
1752278100000,1752278160000,1752364560000,neg5pct,24h,-0.0047275003807043525,-61.275003807043525,2025
1752796500000,1752796560000,1752882960000,neg5pct,24h,0.020405579960932174,190.05579960932175,2025
1753228500000,1753228560000,1753314960000,neg5pct,24h,-0.031097525130797776,-324.97525130797777,2025
1756166100000,1756166160000,1756252560000,neg5pct,24h,0.04986124297086092,484.61242970860917,2025
1757807700000,1757807760000,1757894160000,neg5pct,24h,-0.012418831690851784,-138.18831690851783,2025
1758585300000,1758585360000,1758671760000,neg5pct,24h,-0.007613408561628177,-90.13408561628177,2025
1760140500000,1760140560000,1760226960000,neg5pct,24h,-0.019407812888778353,-208.07812888778352,2025
1763164500000,1763164560000,1763250960000,neg5pct,24h,0.018933738351438967,175.33738351438967,2025
1763769300000,1763769360000,1763855760000,neg5pct,24h,0.0029217429083470137,15.217429083470137,2025
1765929300000,1765929360000,1766015760000,neg5pct,24h,-0.04548293124225711,-468.8293124225711,2025
1768434900000,1768434960000,1768521360000,neg5pct,24h,-0.011581930162778864,-129.81930162778863,2026
1769903700000,1769903760000,1769990160000,neg5pct,24h,-0.07135079374176179,-727.5079374176179,2026
1770594900000,1770594960000,1770681360000,neg5pct,24h,0.005275531853890625,38.75531853890625,2026
1770767700000,1770767760000,1770854160000,neg5pct,24h,-0.0392047142715658,-406.04714271565797,2026
1772754900000,1772754960000,1772841360000,neg5pct,24h,-0.046575117812474365,-479.75117812474366,2026
1773878100000,1773878160000,1773964560000,neg5pct,24h,-0.030572757173641718,-319.7275717364172,2026
1775174100000,1775174160000,1775260560000,neg5pct,24h,-0.0018916921161665767,-32.91692116166577,2026
1776038100000,1776038160000,1776124560000,neg5pct,24h,0.08255520634240021,811.5520634240021,2026
1776383700000,1776383760000,1776470160000,neg5pct,24h,0.031507374882769223,301.0737488276922,2026
1776556500000,1776556560000,1776642960000,neg5pct,24h,-0.03607549675639776,-374.75496756397763,2026
1776988500000,1776988560000,1777074960000,neg5pct,24h,-0.006683149192613591,-80.83149192613591,2026
1778802900000,1778802960000,1778889360000,neg5pct,24h,-0.02548641542506569,-268.8641542506569,2026
1780617300000,1780617360000,1780703760000,neg5pct,24h,-0.10826997217189072,-1096.699721718907,2026
1784246100000,1784246160000,1784332560000,neg5pct,24h,-0.011198015922011084,-125.98015922011083,2026
1680566100000,1680566160000,1680825360000,neg5pct,72h,0.03369774279839932,322.9774279839932,2023
1680825300000,1680825360000,1681084560000,neg5pct,72h,-0.006576520218789628,-79.76520218789628,2023
1681084500000,1681084560000,1681343760000,neg5pct,72h,0.03137799449943213,299.7799449943213,2023
1681516500000,1681516560000,1681775760000,neg5pct,72h,-0.01236331091084808,-137.6331091084808,2023
1681948500000,1681948560000,1682207760000,neg5pct,72h,-0.031530669755272744,-329.3066975527274,2023
1682553300000,1682553360000,1682812560000,neg5pct,72h,0.022420875384763894,210.20875384763895,2023
1683417300000,1683417360000,1683676560000,neg5pct,72h,-0.026146065697395415,-275.46065697395414,2023
1683503700000,1683503760000,1683762960000,neg5pct,72h,-0.01570554640542443,-171.0554640542443,2023
1686095700000,1686095760000,1686354960000,neg5pct,72h,-0.022577440621331157,-239.77440621331158,2023
1686959700000,1686959760000,1687218960000,neg5pct,72h,0.009845190062820697,84.45190062820697,2023
1688342100000,1688342160000,1688601360000,neg5pct,72h,-0.014137868738224868,-155.37868738224867,2023
1688514900000,1688514960000,1688774160000,neg5pct,72h,-0.033802220063253174,-352.02220063253174,2023
1689378900000,1689378960000,1689638160000,neg5pct,72h,-0.012543960669080145,-139.43960669080144,2023
1690156500000,1690156560000,1690415760000,neg5pct,72h,-0.00950439478979126,-109.0439478979126,2023
1690761300000,1690761360000,1691020560000,neg5pct,72h,-0.012391254117432138,-137.91254117432138,2023
1691538900000,1691538960000,1691798160000,neg5pct,72h,-0.004008815082627959,-54.08815082627959,2023
1692316500000,1692316560000,1692575760000,neg5pct,72h,-0.00019003390917571306,-15.90033909175713,2023
1692402900000,1692402960000,1692662160000,neg5pct,72h,0.0035045040705234953,21.045040705234953,2023
1692489300000,1692489360000,1692748560000,neg5pct,72h,-0.020722530355269053,-221.22530355269052,2023
1696290900000,1696290960000,1696550160000,neg5pct,72h,-0.031244173668288577,-326.4417366828858,2023
1698105300000,1698105360000,1698364560000,neg5pct,72h,0.021861669282060348,204.61669282060348,2023
1698191700000,1698191760000,1698450960000,neg5pct,72h,-0.0007351579467207436,-21.351579467207436,2023
1698969300000,1698969360000,1699228560000,neg5pct,72h,0.05186514506683859,504.6514506683859,2023
1699401300000,1699401360000,1699660560000,neg5pct,72h,0.10127628025207858,998.7628025207857,2023
1702338900000,1702338960000,1702598160000,neg5pct,72h,0.04163782330783139,402.3782330783139,2023
1703894100000,1703894160000,1704153360000,neg5pct,72h,0.022310002129314555,209.10002129314555,2023
1704326100000,1704326160000,1704585360000,neg5pct,72h,0.012907894439293521,115.07894439293523,2024
1706054100000,1706054160000,1706313360000,neg5pct,72h,0.01184157709290412,104.4157709290412,2024
1708991700000,1708991760000,1709250960000,neg5pct,72h,0.053592378364267335,521.9237836426734,2024
1709596500000,1709596560000,1709855760000,neg5pct,72h,0.06599862829944936,645.9862829944935,2024
1709682900000,1709682960000,1709942160000,neg5pct,72h,0.09267022179266027,912.7022179266027,2024
1710978900000,1710978960000,1711238160000,neg5pct,72h,-0.051213712361263486,-526.1371236126348,2024
1712966100000,1712966160000,1713225360000,neg5pct,72h,-0.04469220360089887,-460.9220360089887,2024
1713052500000,1713052560000,1713311760000,neg5pct,72h,0.022244490307852693,208.44490307852692,2024
1714607700000,1714607760000,1714866960000,neg5pct,72h,0.047607996663572516,462.07996663572516,2024
1718236500000,1718236560000,1718495760000,neg5pct,72h,0.000974160874105845,-4.2583912589415505,2024
