group,horizon,n_events,mean_gross_bp,t_stat,inference_scope
double_overheat,24h,166,-40.52061098896216,-2.198102635685657,exploratory_uncorrected
funding_only_top_quartile,24h,544,23.348578683100282,2.2856453786728856,exploratory_uncorrected
oi_only_top_quartile,24h,708,5.713390982726192,0.678829447552443,exploratory_uncorrected
neither,24h,2230,10.853625654763807,2.2004849855826074,exploratory_uncorrected
double_overheat,72h,166,-111.95849032113603,-3.999914664558139,exploratory_uncorrected
funding_only_top_quartile,72h,539,74.91856007746303,4.248041666034609,exploratory_uncorrected
oi_only_top_quartile,72h,708,18.348608280509563,1.216395688338188,exploratory_uncorrected
neither,72h,2229,30.703887962497607,3.6433040571786766,exploratory_uncorrected
double_overheat,168h,164,-43.21814997949518,-0.8848035406615434,exploratory_uncorrected
funding_only_top_quartile,168h,537,139.11015037416482,5.07034670205694,exploratory_uncorrected
oi_only_top_quartile,168h,701,26.26677529214639,1.1058655875302417,exploratory_uncorrected
neither,168h,2228,70.27545646754992,5.452604961679334,exploratory_uncorrected
