group,horizon,n_events,mean_gross_bp,t_stat,inference_scope
double_overheat,24h,223,-50.620968498689464,-2.70088319682463,exploratory_uncorrected
funding_only_top_quartile,24h,521,38.09186066687658,2.7925887636722577,exploratory_uncorrected
oi_only_top_quartile,24h,738,7.4703420670342755,0.6211587166600676,exploratory_uncorrected
neither,24h,2166,2.7833197918723886,0.3978961914005412,exploratory_uncorrected
double_overheat,72h,223,-88.92179519006604,-2.41710205792451,exploratory_uncorrected
funding_only_top_quartile,72h,519,69.44313315224619,2.8405317929990224,exploratory_uncorrected
oi_only_top_quartile,72h,738,19.467471956373963,0.9267573479864694,exploratory_uncorrected
neither,72h,2162,14.355212014412619,1.1923101756589403,exploratory_uncorrected
double_overheat,168h,223,-152.21914300160577,-3.0506040716984537,exploratory_uncorrected
funding_only_top_quartile,168h,516,139.82693961926518,3.6953893443396097,exploratory_uncorrected
oi_only_top_quartile,168h,738,64.78042566620107,2.0118502764691666,exploratory_uncorrected
neither,168h,2153,25.525922514295775,1.345745238791895,exploratory_uncorrected
