offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-60,-2.4558485887063873e-06,6113.0,4.529707670437206e-06,976.0,-5.087865060511188e-05,2020.0,-2.4558485887063873e-06,4.529707670437206e-06,-5.087865060511188e-05
-59,-1.9239004961714623e-05,6113.0,-3.658111104349408e-05,976.0,5.819483661259425e-07,2020.0,-2.169485355042101e-05,-3.2051403373056875e-05,-5.029670223898594e-05
-58,-4.7859227522592545e-06,6113.0,-1.0912739407943332e-05,976.0,1.099553784467408e-05,2020.0,-2.6480776302680264e-05,-4.296414278100021e-05,-3.9301164394311866e-05
-57,9.697781995045819e-06,6113.0,-2.4895177494614937e-05,976.0,1.227603234723326e-05,2020.0,-1.6782994307634447e-05,-6.785932027561514e-05,-2.7025132047078607e-05
-56,1.577653400986726e-05,6113.0,3.447899143436688e-05,976.0,3.7041146741021345e-05,2020.0,-1.0064602977671873e-06,-3.338032884124826e-05,1.0016014693942739e-05
-55,3.5904511463604182e-06,6113.0,-3.600036371959207e-05,976.0,4.1334274713226445e-05,2020.0,2.583990848593231e-06,-6.938069256084033e-05,5.1350289407169183e-05
-54,1.4195289559834226e-06,6113.0,1.1904741333833996e-05,976.0,-2.731178257531714e-06,2020.0,4.003519804576653e-06,-5.747595122700634e-05,4.861911114963747e-05
-53,-2.637872231441027e-06,6113.0,-1.1254145208388619e-05,976.0,-9.238919847707766e-06,2020.0,1.3656475731356263e-06,-6.873009643539496e-05,3.938019130192971e-05
-52,3.275469663918608e-06,6113.0,-1.8263191964295813e-05,976.0,2.0725700615627545e-05,2020.0,4.641117237054234e-06,-8.699328839969078e-05,6.010589191755725e-05
-51,1.7286339652113823e-06,6113.0,5.781559656234199e-05,976.0,-3.0482220214752036e-05,2020.0,6.369751202265616e-06,-2.917769183734879e-05,2.962367170280521e-05
-50,2.3843962763245756e-05,6113.0,1.882731461117495e-05,976.0,4.380651516664798e-07,2020.0,3.0213713965511373e-05,-1.0350377226173842e-05,3.006173685447169e-05
-49,7.261744310789144e-06,6113.0,4.8240800408640035e-05,976.0,-2.0038450302575315e-05,2020.0,3.747545827630052e-05,3.789042318246619e-05,1.0023286551896376e-05
-48,-4.181789506275038e-06,6113.0,1.1397145104594518e-05,976.0,8.09242925247644e-06,2020.0,3.329366877002548e-05,4.928756828706071e-05,1.811571580437282e-05
-47,-3.0236576829494087e-06,6113.0,1.0545313905638174e-05,976.0,-2.152448377554052e-05,2020.0,3.0270011087076068e-05,5.983288219269888e-05,-3.4087679711677026e-06
-46,2.6330632893188585e-05,6113.0,7.460875108390139e-05,976.0,2.381464401695599e-05,2020.0,5.6600643980264656e-05,0.00013444163327660028,2.040587604578829e-05
