offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-60,-4.906072163497806e-06,6113.0,7.576384510698729e-05,1026.0,-6.811513775791037e-05,2104.0,-4.906072163497806e-06,7.576384510698729e-05,-6.811513775791037e-05
-59,-3.154862148407889e-05,6113.0,-5.618736063980732e-05,1026.0,-2.4554970128795194e-05,2104.0,-3.6454693647576694e-05,1.9576484467179973e-05,-9.267010788670556e-05
-58,-1.409002712400578e-05,6113.0,2.4060666010176178e-05,1026.0,-3.253518363652924e-05,2104.0,-5.0544720771582477e-05,4.363715047735615e-05,-0.00012520529152323478
-57,2.042608757043471e-05,6113.0,-3.160801378990419e-05,1026.0,3.840294952218507e-05,2104.0,-3.0118633201147767e-05,1.2029136687451962e-05,-8.680234200104971e-05
-56,1.951888607151327e-06,6113.0,2.3529465718792355e-05,1026.0,9.090741751612224e-06,2104.0,-2.816674459399644e-05,3.5558602406244314e-05,-7.771160024943749e-05
-55,1.4673323898745085e-05,6113.0,-2.1822176827383813e-05,1026.0,5.8920652994498526e-05,2104.0,-1.3493420695251355e-05,1.3736425578860501e-05,-1.8790947254938965e-05
-54,7.605494701116468e-07,6113.0,3.521234617061283e-05,1026.0,8.688399409725287e-06,2104.0,-1.2732871225139708e-05,4.8948771749473334e-05,-1.0102547845213679e-05
-53,1.091486223608302e-06,6113.0,9.98376586560124e-07,1026.0,2.928617092301084e-05,2104.0,-1.1641385001531406e-05,4.994714833603346e-05,1.918362307779716e-05
-52,1.1721022967938881e-05,6113.0,7.512699471552868e-05,1026.0,1.04719997755478e-05,2104.0,7.963796640747528e-08,0.00012507414305156213,2.965562285334496e-05
-51,1.3507127873598666e-05,6113.0,8.943996609997521e-06,1026.0,-1.6925881818633814e-05,2104.0,1.358676584000614e-05,0.00013401813966155965,1.2729741034711146e-05
-50,1.577871393397046e-05,6113.0,6.934845970465829e-05,1026.0,-3.340762061751501e-05,2104.0,2.9365479773976604e-05,0.00020336659936621794,-2.0677879582803862e-05
-49,5.75118935048717e-06,6113.0,3.613761910807819e-05,1026.0,-1.4906830472615843e-05,2104.0,3.511666912446377e-05,0.00023950421847429614,-3.5584710055419705e-05
-48,-9.169485253451207e-06,6113.0,-3.1462828615786525e-05,1026.0,7.547956188538272e-06,2104.0,2.5947183871012563e-05,0.0002080413898585096,-2.8036753866881433e-05
-47,2.138184067937504e-06,6113.0,-5.392416431262542e-06,1026.0,-1.546425423805023e-05,2104.0,2.8085367938950066e-05,0.00020264897342724705,-4.350100810493166e-05
-46,1.9051738741049142e-05,6113.0,3.596036519941882e-05,1026.0,5.476280192809261e-06,2104.0,4.7137106679999205e-05,0.00023860933862666588,-3.80247279121224e-05
