bucket,date,rate_binance,rate_bybit,rate_hyperliquid,trail7_binance,trail7_bybit,trail7_hyperliquid,day_date
1683849600000,2023-05-12 00:00:00,0.0,0.0,-0.0006133368,,,,2023-05-12
1683878400000,2023-05-12 08:00:00,3.964e-05,6.721e-05,-0.000745027,,,,2023-05-12
1683907200000,2023-05-12 16:00:00,2.762e-05,6.428e-05,-0.0008179771,,,,2023-05-12
1683936000000,2023-05-13 00:00:00,-1e-07,3.724e-05,-0.0004403551,,,,2023-05-13
1683964800000,2023-05-13 08:00:00,5.385e-05,3.879e-05,-0.0001034319,,,,2023-05-13
1683993600000,2023-05-13 16:00:00,4.494e-05,3.553e-05,-0.0001380334,,,,2023-05-13
1684022400000,2023-05-14 00:00:00,1.715e-05,7.907e-05,-0.0002227042,,,,2023-05-14
1684051200000,2023-05-14 08:00:00,3.039e-05,4.795e-05,-0.0002137192,,,,2023-05-14
1684080000000,2023-05-14 16:00:00,3.537e-05,8.298e-05,-0.0001945397,,,,2023-05-14
1684108800000,2023-05-15 00:00:00,4.407e-05,7.979e-05,-7.82041e-05,,,,2023-05-15
1684137600000,2023-05-15 08:00:00,-1.576e-05,1.918e-05,-0.0001276332,,,,2023-05-15
1684166400000,2023-05-15 16:00:00,-1.9e-06,5.153e-05,-0.0001288077,,,,2023-05-15
1684195200000,2023-05-16 00:00:00,8.66e-05,3.473e-05,-2.53654e-05,,,,2023-05-16
1684224000000,2023-05-16 08:00:00,3.165e-05,7.758e-05,-0.000129521,,,,2023-05-16
1684252800000,2023-05-16 16:00:00,5.8e-05,8.434e-05,-4.62775e-05,,,,2023-05-16
1684281600000,2023-05-17 00:00:00,8.392e-05,0.0001,-2.61481e-05,,,,2023-05-17
1684310400000,2023-05-17 08:00:00,7.029e-05,0.0001,0.0001,,,,2023-05-17
1684339200000,2023-05-17 16:00:00,4.461e-05,7.675e-05,0.0001,,,,2023-05-17
1684368000000,2023-05-18 00:00:00,0.0001,5.809e-05,0.0001,,,,2023-05-18
1684396800000,2023-05-18 08:00:00,0.0001,-9.5e-06,-6.4613e-06,,,,2023-05-18
1684425600000,2023-05-18 16:00:00,8.342e-05,0.0001,-6.7035e-06,4.446476190476191e-05,5.835904761904762e-05,-0.00017924981904761904,2023-05-18
1684454400000,2023-05-19 00:00:00,2.716e-05,7.105e-05,8.92339e-05,4.575809523809524e-05,6.174238095238095e-05,-0.00014579407142857143,2023-05-19
1684483200000,2023-05-19 08:00:00,4.474e-05,9.379e-05,0.0001,4.600095238095238e-05,6.300809523809525e-05,-0.00010555469047619048,2023-05-19
1684512000000,2023-05-19 16:00:00,3.815e-05,7.141e-05,9.1624e-05,4.650238095238096e-05,6.334761904761905e-05,-6.224035238095238e-05,2023-05-19
1684540800000,2023-05-20 00:00:00,5.313e-05,0.0001,3.66019e-05,4.903714285714286e-05,6.633619047619048e-05,-3.9528114285714286e-05,2023-05-20
1684569600000,2023-05-20 08:00:00,2.455e-05,0.0001,6.1012e-05,4.764190476190476e-05,6.925095238095237e-05,-3.169745238095238e-05,2023-05-20
1684598400000,2023-05-20 16:00:00,-8.49e-06,2.041e-05,6.5076e-06,4.509761904761905e-05,6.853095238095238e-05,-2.481454761904762e-05,2023-05-20
1684627200000,2023-05-21 00:00:00,4.776e-05,-1.167e-05,-0.0002138913,4.6555238095238096e-05,6.421e-05,-2.4394885714285715e-05,2023-05-21
1684656000000,2023-05-21 08:00:00,7.262e-05,0.0001,-0.0001202087,4.856619047619048e-05,6.668857142857142e-05,-1.994200476190476e-05,2023-05-21
1684684800000,2023-05-21 16:00:00,5.071e-05,0.0001,-0.0001198537,4.929666666666667e-05,6.749904761904762e-05,-1.638552857142857e-05,2023-05-21
1684713600000,2023-05-22 00:00:00,3.019e-05,0.0001,-0.0001554343,4.863571428571428e-05,6.846142857142858e-05,-2.006315714285714e-05,2023-05-22
1684742400000,2023-05-22 08:00:00,2.1e-06,0.0001,-0.0002855006,4.948619047619048e-05,7.231e-05,-2.758065238095238e-05,2023-05-22
1684771200000,2023-05-22 16:00:00,4.77e-05,0.0001,-0.000269228,5.184809523809524e-05,7.461809523809524e-05,-3.426733333333333e-05,2023-05-22
1684800000000,2023-05-23 00:00:00,0.0001,6.784e-05,-0.0001899086,5.2486190476190476e-05,7.61947619047619e-05,-4.210272380952381e-05,2023-05-23
1684828800000,2023-05-23 08:00:00,0.0001,4.273e-05,-0.0001754061,5.574095238095238e-05,7.45352380952381e-05,-4.428772857142857e-05,2023-05-23
1684857600000,2023-05-23 16:00:00,0.0001,2.217e-05,-0.0001552822,5.774095238095239e-05,7.15747619047619e-05,-4.947842857142857e-05,2023-05-23
1684886400000,2023-05-24 00:00:00,0.0001,0.0001,-0.000110501,5.850666666666667e-05,7.15747619047619e-05,-5.3495233333333336e-05,2023-05-24
