bucket,date,rate_binance,rate_bybit,rate_hyperliquid,trail7_binance,trail7_bybit,trail7_hyperliquid,day_date
1683849600000,2023-05-12 00:00:00,0.0,0.0,8.63563e-05,,,,2023-05-12
1683878400000,2023-05-12 08:00:00,4.54e-06,-2.941e-05,7.99327e-05,,,,2023-05-12
1683907200000,2023-05-12 16:00:00,-9.17e-06,9.944e-05,0.0001,,,,2023-05-12
1683936000000,2023-05-13 00:00:00,2.858e-05,0.0001,0.0001,,,,2023-05-13
1683964800000,2023-05-13 08:00:00,2.366e-05,6.473e-05,0.0001,,,,2023-05-13
1683993600000,2023-05-13 16:00:00,8.57e-06,9.34e-06,0.0001,,,,2023-05-13
1684022400000,2023-05-14 00:00:00,-4.8e-06,7.959e-05,-0.0002852789,,,,2023-05-14
1684051200000,2023-05-14 08:00:00,5.487e-05,4.289e-05,-0.0004008849,,,,2023-05-14
1684080000000,2023-05-14 16:00:00,3.797e-05,0.0001,-0.0004147689,,,,2023-05-14
1684108800000,2023-05-15 00:00:00,-1.849e-05,-1.617e-05,-0.00036521,,,,2023-05-15
1684137600000,2023-05-15 08:00:00,-2.95e-06,3.085e-05,-0.0003794868,,,,2023-05-15
1684166400000,2023-05-15 16:00:00,-1.988e-05,-5.873e-05,-0.0003625061,,,,2023-05-15
1684195200000,2023-05-16 00:00:00,-1.56e-05,-5.484e-05,-0.000366601,,,,2023-05-16
1684224000000,2023-05-16 08:00:00,1.255e-05,4.544e-05,-0.000349687,,,,2023-05-16
1684252800000,2023-05-16 16:00:00,6.009e-05,0.0001,-0.0001126396,,,,2023-05-16
1684281600000,2023-05-17 00:00:00,8.76e-05,0.0001,-0.000134291,,,,2023-05-17
1684310400000,2023-05-17 08:00:00,-1.53e-05,0.0001,-7.87641e-05,,,,2023-05-17
1684339200000,2023-05-17 16:00:00,3.984e-05,5.721e-05,0.0001,,,,2023-05-17
1684368000000,2023-05-18 00:00:00,7.696e-05,6.175e-05,0.0001,,,,2023-05-18
1684396800000,2023-05-18 08:00:00,6.739e-05,2.964e-05,0.0001,,,,2023-05-18
1684425600000,2023-05-18 16:00:00,5.135e-05,0.0001,0.0001,2.2275238095238095e-05,4.579666666666667e-05,-0.00010875377619047618,2023-05-18
1684454400000,2023-05-19 00:00:00,4.796e-05,9.604e-05,0.0001,2.4559047619047618e-05,5.037e-05,-0.0001081040761904762,2023-05-19
1684483200000,2023-05-19 08:00:00,2.782e-05,8.693e-05,0.0001,2.5667619047619047e-05,5.591e-05,-0.00010714849047619046,2023-05-19
1684512000000,2023-05-19 16:00:00,0.0001,0.0001,0.0001,3.086619047619048e-05,5.593666666666667e-05,-0.00010714849047619046,2023-05-19
1684540800000,2023-05-20 00:00:00,7.933e-05,0.0001,0.0001,3.328285714285714e-05,5.593666666666667e-05,-0.00010714849047619046,2023-05-20
1684569600000,2023-05-20 08:00:00,7.88e-06,0.0001,9.98178e-05,3.2531428571428574e-05,5.761619047619047e-05,-0.00010715716666666666,2023-05-20
1684598400000,2023-05-20 16:00:00,-1.76e-06,6.333e-05,5.87685e-05,3.203952380952381e-05,6.018714285714286e-05,-0.00010912057142857144,2023-05-20
1684627200000,2023-05-21 00:00:00,4.22e-05,5.855e-05,6.28449e-05,3.427761904761905e-05,5.9185238095238095e-05,-9.25432476190476e-05,2023-05-21
1684656000000,2023-05-21 08:00:00,-1.59e-06,8.078e-05,4.09556e-05,3.158904761904762e-05,6.098952380952381e-05,-7.150322380952382e-05,2023-05-21
1684684800000,2023-05-21 16:00:00,2.497e-05,1.848e-05,0.0001,3.097e-05,5.710761904761905e-05,-4.699041904761904e-05,2023-05-21
1684713600000,2023-05-22 00:00:00,2.428e-05,0.0001,8.81215e-05,3.300666666666667e-05,6.263952380952381e-05,-2.540320476190476e-05,2023-05-22
1684742400000,2023-05-22 08:00:00,5.518e-05,9.296e-05,0.0001,3.577476190476191e-05,6.559714285714285e-05,-2.5704999999999977e-06,2023-05-22
1684771200000,2023-05-22 16:00:00,9.003e-05,0.0001,0.0001,4.100857142857143e-05,7.315571428571429e-05,1.94536e-05,2023-05-22
1684800000000,2023-05-23 00:00:00,2.79e-05,1.259e-05,4.0433e-05,4.308e-05,7.636666666666666e-05,3.883617142857143e-05,2023-05-23
1684828800000,2023-05-23 08:00:00,0.0001,0.0001,-0.0004890533,4.7244285714285723e-05,7.896476190476191e-05,3.219968095238095e-05,2023-05-23
1684857600000,2023-05-23 16:00:00,7.379e-05,7.297e-05,-0.0007369307,4.789666666666667e-05,7.767761904761904e-05,2.4715333333333283e-06,2023-05-23
1684886400000,2023-05-24 00:00:00,9.078e-05,0.0001,-0.0006643767,4.804809523809524e-05,7.767761904761906e-05,-2.2770642857142858e-05,2023-05-24
1684915200000,2023-05-24 08:00:00,1.006e-05,2.509e-05,-0.0006747939,4.9255714285714284e-05,7.411047619047619e-05,-5.11530142857143e-05,2023-05-24
1684944000000,2023-05-24 16:00:00,4.917e-05,6.12e-05,-0.0005566751,4.97e-05,7.43004761904762e-05,-8.242325714285714e-05,2023-05-24
1684972800000,2023-05-25 00:00:00,1.449e-05,3.85e-05,-0.0005781361,4.6725238095238096e-05,7.319333333333334e-05,-0.00011471545238095238,2023-05-25
1685001600000,2023-05-25 08:00:00,1.48e-06,6.188e-05,-0.0002059991,4.358666666666667e-05,7.472857142857143e-05,-0.00012928683809523812,2023-05-25
1685030400000,2023-05-25 16:00:00,6.605e-05,9.143e-05,-0.000165342,4.428666666666667e-05,7.432047619047619e-05,-0.00014192217142857143,2023-05-25
1685059200000,2023-05-26 00:00:00,0.0001,5.262e-05,-0.0001812212,4.676476190476191e-05,7.225285714285714e-05,-0.00015531365714285713,2023-05-26
1685088000000,2023-05-26 08:00:00,6.574e-05,2.932e-05,-0.0001976401,4.857047619047619e-05,6.95095238095238e-05,-0.00016948699523809525,2023-05-26
1685116800000,2023-05-26 16:00:00,3.794e-05,6.045e-05,-0.0003017605,4.5615238095238095e-05,6.762619047619048e-05,-0.00018861844761904764,2023-05-26
1685145600000,2023-05-27 00:00:00,6.425e-05,-2.858e-05,-0.0003481386,4.489714285714286e-05,6.150333333333333e-05,-0.00020995838095238097,2023-05-27
1685174400000,2023-05-27 08:00:00,4.565e-05,-5.05e-06,-0.0003544531,4.669571428571429e-05,5.6500952380952386e-05,-0.00023159032857142855,2023-05-27
1685203200000,2023-05-27 16:00:00,-3.23e-05,1.422e-05,-0.0003522113,4.5241428571428565e-05,5.416238095238095e-05,-0.00025116079523809526,2023-05-27
1685232000000,2023-05-28 00:00:00,-1.2e-06,-3.635e-05,-0.0003501131,4.317476190476191e-05,4.964333333333334e-05,-0.0002708254619047619,2023-05-28
