date,nav,basis_pnl,funding_pnl,switch_cost,venue,ret
2023-05-12,1000000.0,0.0,0.0,0.0,,0.0
2023-05-13,999974.2717284164,-25.728271583601835,0.0,0.0,,-2.5728271583560855e-05
2023-05-14,999886.0605115582,-88.21121685823057,0.0,0.0,,-8.821121685823891e-05
2023-05-15,999981.6226631546,95.56215159640253,0.0,0.0,,9.556215159641579e-05
2023-05-16,999875.034109451,-106.58855370357688,0.0,0.0,,-0.00010658855370362289
2023-05-17,999889.7359789273,14.701869476343905,0.0,0.0,,1.470186947635375e-05
2023-05-18,999875.8298481363,-80.86028212005861,66.95415132901559,0.0,bybit,-1.3906130791059695e-05
2023-05-19,1000210.0247617005,147.0186947636062,187.17621880057249,0.0,bybit,0.00033419491356424986
2023-05-20,1000407.3939395453,22.052804214515856,175.3163736301923,0.0,bybit,0.00019736917784472462
2023-05-21,1000476.1221242622,-36.754673690776194,105.4828584076316,0.0,bybit,6.872818471689243e-05
2023-05-22,1000736.5181609055,66.15841264354758,194.23762399968814,0.0,bybit,0.0002603960366433021
2023-05-23,1000739.1288971283,-121.29042318000435,123.90115940279225,0.0,bybit,2.610736222821288e-06
2023-05-24,1000869.7051303412,3.6754673691695467,126.90076584377033,0.0,bybit,0.0001305762332129525
2023-05-25,1001128.8386279183,132.31682528726228,126.81667228976046,0.0,bybit,0.00025913349757704417
2023-05-26,1001190.205743016,-33.07920632194093,94.44632141962141,0.0,bybit,6.136711509770248e-05
2023-05-27,1001188.1995324864,11.026402107341498,-13.032612636925082,0.0,bybit,-2.0062105295946823e-06
2023-05-28,1001183.6552636538,18.37733684551345,-22.921605678040187,0.0,bybit,-4.544268832542002e-06
2023-05-29,1001084.0915087073,-279.3355200507849,179.77176510422174,0.0,bybit,-9.95637549465755e-05
2023-05-30,1001590.3698641026,297.7128568961312,208.56549849918414,0.0,bybit,0.000506278355395305
2023-05-31,1001630.9966214226,-117.61495581083481,158.2417131308856,0.0,bybit,4.062675732001662e-05
2023-06-01,1001776.4879966711,3.6754673691695467,141.8159078794224,0.0,bybit,0.00014549137524852996
2023-06-02,1002113.313481522,150.6941621326086,186.13132271828653,0.0,bybit,0.00033682548485090954
2023-06-03,1002267.1902818284,-33.07920632177379,186.95600662809278,0.0,bybit,0.0001538768003063742
2023-06-04,1002438.0979792483,18.37733684534631,152.53036057448668,0.0,bybit,0.00017090769741986877
2023-06-05,1002760.2754820467,113.93948844183241,208.23801435659828,0.0,bybit,0.0003221775027983822
2023-06-06,1002022.3193218978,-367.5467369089319,553.5905767600865,924.0,hyperliquid,-0.0007379561601488385
2023-06-07,1003237.7454772388,341.81846532533007,873.6076900156485,0.0,hyperliquid,0.0012154261553409742
2023-06-08,1004347.539334139,-216.8525747763233,1326.6464316764695,0.0,hyperliquid,0.0011097938569001853
2023-06-09,1005305.0653296589,-29.40373895268781,986.9297344726316,0.0,hyperliquid,0.0009575259955199436
2023-06-10,1006093.981977093,14.701869476343905,774.2147779577209,0.0,hyperliquid,0.0007889166474341182
2023-06-11,1006628.9916970595,40.43014105994574,494.5795789065485,0.0,hyperliquid,0.0005350097199664451
