detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1609619940000,1609623540000,1609637940000,31541.62,32724.18,360.9205018638868
1609687860000,1609691460000,1609705860000,33567.02,33674.8,18.108897364140354
1609744920000,1609748520000,1609762920000,32406.1,31192.93,-388.36470294172966
1609818540000,1609822140000,1609836540000,31334.49,31071.45,-97.94583731855865
1609963860000,1609967460000,1609981860000,36183.13,37063.63,229.34544855572292
1610044920000,1610048520000,1610062920000,39153.5,39215.28,1.778921424649539
1610120040000,1610123640000,1610138040000,41191.58,39612.35,-397.386604738154
1610277900000,1610281500000,1610295900000,39580.95,39569.62,-16.862488141389676
1610325840000,1610329440000,1610343840000,37171.99,35014.06,-594.5258206515174
1610371440000,1610375040000,1610389440000,33083.62,32781.6,-105.28988907501801
1610416200000,1610419800000,1610434200000,34595.73,36155.32,436.80418884064557
1610459400000,1610463000000,1610477400000,33142.53,34969.76,537.3248385081049
1610660520000,1610664120000,1610678520000,38618.52,39394.88,187.0330794655002
1610725860000,1610729460000,1610743860000,36027.8,35640.15,-121.59746640094603
1610834820000,1610838420000,1610852820000,36130.0,36526.67,95.78964849155837
1611115140000,1611118740000,1611133140000,35297.12,35480.53,37.96174645410112
1611158520000,1611162120000,1611176520000,34776.27,35045.61,63.449364178505675
1611218340000,1611221940000,1611236340000,32840.6,32641.11,-74.74493157859462
1611266040000,1611269640000,1611284040000,30913.78,30704.87,-81.57827738956502
1611610320000,1611613920000,1611628320000,31938.88,32422.78,137.50813052930977
1611749640000,1611753240000,1611767640000,30807.79,30740.0,-36.004174918097696
1611894060000,1611897660000,1611912060000,33013.99,36803.94,1133.9830217432086
1611939360000,1611942960000,1611957360000,35805.17,34700.5,-322.52248432279407
1612429860000,1612433460000,1612447860000,37450.6,37662.4,42.554501129488784
1612804020000,1612807620000,1612822020000,42970.25,44720.27,393.26316463134407
1612960740000,1612964340000,1612978740000,45781.84,44886.07,-209.66055012205652
1613078640000,1613082240000,1613096640000,47352.0,48467.86,221.65213718533596
1613141280000,1613144880000,1613159280000,47155.17,47398.72,37.64863152863353
1613355600000,1613359200000,1613373600000,47094.72,47241.54,17.175469351978347
1613860860000,1613864460000,1613878860000,55694.94,56634.97,154.78193961605837
1613996460000,1614000060000,1614014460000,53169.03,52740.78,-94.54500900242067
1614049020000,1614052620000,1614067020000,52324.41,49731.39,-509.5660274048013
1614092220000,1614095820000,1614110220000,48417.9,46000.01,-513.3793617649667
1614173520000,1614177120000,1614191520000,49574.83,49830.09,37.48983869435186
1614274260000,1614277860000,1614292260000,49637.28,48503.79,-242.35457543201377
1614318840000,1614322440000,1614336840000,46318.22,46556.98,37.547749460147955
1614468540000,1614472140000,1614486540000,46347.04,44623.79,-385.8144675474422
1614829800000,1614833400000,1614847800000,49245.48,50270.86,194.21809433068773
1614882000000,1614885600000,1614900000000,48178.85,48500.0,52.65787996185114
1615342080000,1615345680000,1615360080000,54110.57,53982.02,-37.756911080404784
1615800240000,1615803840000,1615818240000,56100.0,57078.0,160.33155080213814
1615854720000,1615858320000,1615872720000,54164.42,54052.32,-34.69624303186468
1616446080000,1616449680000,1616464080000,54849.99,55265.23,61.7046628449709
1616617860000,1616621460000,1616635860000,53854.87,52348.92,-293.6311642753946
1616674440000,1616678040000,1616692440000,50678.43,51729.33,193.36632922527366
1617177240000,1617180840000,1617195240000,57999.0,58185.13,18.09193261952681
1618716060000,1618719660000,1618734060000,55186.83,56063.9,144.92741076086514
1619057460000,1619061060000,1619075460000,54050.46,54270.0,26.617600664267783
1619125740000,1619129340000,1619143740000,51888.06,50802.9,-223.13481829923808
1619384520000,1619388120000,1619402520000,47708.66,52327.86,954.2099643964004
1619643840000,1619647440000,1619661840000,54789.34,54748.1,-21.527011641315084
1620089820000,1620093420000,1620107820000,55775.26,56080.0,40.63712764404826
1620141480000,1620145080000,1620159480000,54016.34,54657.06,104.61595954113069
1620677100000,1620680700000,1620695100000,55616.17,55749.59,9.989426096762134
1620857520000,1620861120000,1620875520000,52659.08,49842.63,-548.8460322512294
1620925560000,1620929160000,1620943560000,48728.78,49510.0,146.32004084649776
1621096440000,1621100040000,1621114440000,48131.88,48490.19,60.44338347058155
1621185420000,1621189020000,1621203420000,47034.99,46218.9,-187.5069997888794
1621267260000,1621270860000,1621285260000,42603.85,44759.55,491.9871349655021
1621342140000,1621345740000,1621360140000,43808.95,43449.33,-96.08824909065271
1621387080000,1621390680000,1621405080000,40871.98,39756.01,-287.0403567431772
1621430280000,1621433880000,1621448280000,34538.25,37913.06,963.1224656721156
1621473480000,1621477080000,1621491480000,37786.21,39376.52,406.87047099987007
1621526700000,1621530300000,1621544700000,39488.7,39879.73,85.02326488337332
1621606620000,1621610220000,1621624620000,37749.02,36657.86,-303.05651060610273
1621660020000,1621663620000,1621678020000,36144.0,37017.75,227.74136786188515
1621757220000,1621760820000,1621775220000,34545.33,33538.28,-305.5155246743928
1622037600000,1622041200000,1622055600000,39151.71,38630.57,-147.10785148337055
1622192640000,1622196240000,1622210640000,35970.91,36847.88,229.79978154569716
1622236260000,1622239860000,1622254260000,35387.02,36358.65,260.5724279693529
1622279940000,1622283540000,1622297940000,35042.53,34934.26,-44.89674175922763
1622334900000,1622338500000,1622352900000,33774.57,35235.29,418.4910724252007
1622808660000,1622812260000,1622826660000,36751.31,36943.37,38.25936163908207
1622886720000,1622890320000,1622904720000,36432.9,35729.31,-207.11940581178132
1623099060000,1623102660000,1623117060000,34161.0,33735.76,-138.48113345628008
1623161940000,1623165540000,1623179940000,31309.84,32720.0,436.38875957207125
1623464580000,1623468180000,1623482580000,35799.19,35371.83,-133.3770026640273
1624042560000,1624046160000,1624060560000,35368.01,35600.01,51.5960004535161
1624184580000,1624188180000,1624202580000,34009.54,34458.15,117.90710606494571
1624250460000,1624254060000,1624268460000,34186.82,33010.38,-358.120921454526
1624311960000,1624315560000,1624329960000,31729.53,32624.7,268.1252000896335
1624363500000,1624367100000,1624381500000,29977.02,32341.31,774.7008114882676
1624639140000,1624642740000,1624657140000,31780.98,31921.77,30.30008136942387
1624691640000,1624695240000,1624709640000,30174.05,31584.84,453.55075967594763
1625486160000,1625489760000,1625504160000,33479.99,33661.14,40.106945671130724
1625566200000,1625569800000,1625584200000,33953.99,33883.3,-34.819349949738886
1626751140000,1626754740000,1626769140000,29564.29,29831.55,76.39960032863891
1626894840000,1626898440000,1626912840000,31618.05,32196.43,168.9271571143698
1627264920000,1627268520000,1627282920000,38110.03,38714.76,144.68001153502175
1627330080000,1627333680000,1627348080000,37625.27,37276.18,-106.78072954692296
1627636920000,1627640520000,1627654920000,38600.82,39007.27,91.29569060968136
1628938020000,1628941620000,1628956020000,46394.26,46850.98,84.44321258707379
1631026140000,1631029740000,1631044140000,46770.45,46941.99,22.67700439059285
1631543640000,1631547240000,1631561640000,44468.3,44752.94,50.00964282421428
1632106980000,1632110580000,1632124980000,45503.02,44746.69,-180.21534131141092
1632183600000,1632187200000,1632201600000,41777.02,42169.08,79.84585114017297
1632256980000,1632260580000,1632274980000,41190.35,42056.12,196.18758034345498
1632474720000,1632478320000,1632492720000,42557.0,42119.64,-116.77040204901722
1632642780000,1632646380000,1632660780000,41439.28,43198.01,410.4113314710107
1633529640000,1633533240000,1633547640000,54368.52,54719.93,50.634829125385096
1634826360000,1634829960000,1634844360000,63460.72,63501.93,-7.506219280210434
1634911440000,1634915040000,1634929440000,61744.02,60534.38,-209.9120899481437
1635321780000,1635325380000,1635339780000,59149.82,58956.9,-46.615483867913795
1635446340000,1635449940000,1635464340000,60177.86,60523.29,43.401509458794294
1636579260000,1636582860000,1636597260000,64602.12,64579.38,-17.520008321709067
1637024760000,1637028360000,1637042760000,61915.2,61026.75,-157.4946507481194
1637915160000,1637918760000,1637933160000,55021.0,54280.01,-148.67403355082564
1638288780000,1638292380000,1638306780000,56907.02,57650.48,116.64469023329696
1638562740000,1638566340000,1638580740000,53808.0,52896.03,-183.48595004460333
1639148640000,1639152240000,1639166640000,47754.99,48203.11,79.8373141738702
1639424040000,1639427640000,1639442040000,46623.86,47034.3,74.03217923183615
1641413160000,1641416760000,1641431160000,44204.97,43577.2,-156.01344328477194
1641529200000,1641532800000,1641547200000,41826.96,42416.7,126.99518588011063
1641825360000,1641828960000,1641843360000,40993.01,41515.62,113.48758873768918
1642715940000,1642719540000,1642733940000,41202.01,39843.37,-343.75090292925
1642801680000,1642805280000,1642819680000,36261.66,36385.18,20.063526049274984
1642846200000,1642849800000,1642864200000,35345.0,35114.99,-79.07568255764707
1643019180000,1643022780000,1643037180000,33689.98,33374.38,-107.67770476563231
1643227380000,1643230980000,1643245380000,37074.51,36920.01,-55.67283667403821
1644501780000,1644505380000,1644519780000,44732.73,45086.15,65.00702684588978
1644606360000,1644609960000,1644624360000,42523.92,42315.28,-63.064150247671854
1645468140000,1645471740000,1645486140000,37742.2,37120.6,-178.69628161580374
1645671660000,1645675260000,1645689660000,34835.1,35223.6,97.52544416407562
1645991700000,1645995300000,1646009700000,38089.0,37527.5,-161.41788967943538
1646425620000,1646429220000,1646443620000,39399.5,38897.3,-141.4635464917062
1646887440000,1646891040000,1646905440000,39247.5,39183.1,-30.408688451493568
1647212520000,1647216120000,1647230520000,37759.7,38123.7,82.39907096719469
1647400380000,1647403980000,1647418380000,39125.0,39709.4,135.36741214057525
1649204460000,1649208060000,1649222460000,45253.5,45380.0,13.953638945052983
1651763280000,1651766880000,1651781280000,36895.0,36178.4,-208.22686000813093
1652115960000,1652119560000,1652133960000,31400.0,30982.2,-147.05732484076404
1652195160000,1652198760000,1652213160000,31373.6,31327.5,-28.693882754927003
1652252340000,1652255940000,1652270340000,30487.7,31502.1,318.72434457174427
1652298300000,1652301900000,1652316300000,29303.9,30026.3,232.5200877698859
1652358120000,1652361720000,1652376120000,28629.6,29339.6,233.99508201302166
1652682420000,1652686020000,1652700420000,29511.0,30067.3,174.50598082071014
1653058500000,1653062100000,1653076500000,29133.5,29324.9,51.697564659241706
1653334260000,1653337860000,1653352260000,29221.1,29215.3,-15.98486709945822
1653571020000,1653574620000,1653589020000,29160.7,29553.0,120.53037821451463
1654562640000,1654566240000,1654580640000,29774.9,29493.9,-108.37479219073785
1654642200000,1654645800000,1654660200000,31221.4,30152.9,-356.23321183547205
1655002500000,1655006100000,1655020500000,27542.1,27526.6,-19.627748065688554
1655083620000,1655087220000,1655101620000,25612.6,25327.1,-125.46857406120425
1655126940000,1655130540000,1655144940000,23314.3,23670.4,138.7388769982374
1655170140000,1655173740000,1655188140000,20931.5,22467.5,719.822229653871
1655265840000,1655269440000,1655283840000,21116.4,20307.9,-396.8777632551006
1655311680000,1655315280000,1655329680000,20753.4,22177.1,672.0080757851716
1655372280000,1655375880000,1655390280000,20949.3,21027.5,23.328216217249462
1655535120000,1655538720000,1655553120000,19299.8,19304.9,-11.357485569797753
1655913420000,1655917020000,1655931420000,20199.6,19940.0,-142.51739638408577
1656572520000,1656576120000,1656590520000,19414.1,19104.0,-173.7292689334029
1656648060000,1656651660000,1656666060000,19412.5,19520.0,41.376690276882634
1657716000000,1657719600000,1657734000000,19245.6,19781.9,264.66109656233374
1658193180000,1658196780000,1658211180000,22024.6,21919.9,-61.53775323955822
1658348580000,1658352180000,1658366580000,23338.2,23342.6,-12.114678938394562
1660891140000,1660894740000,1660909140000,21893.0,21355.1,-259.694970995296
1661526060000,1661529660000,1661544060000,20762.5,20648.0,-69.14750150511728
1662484380000,1662487980000,1662502380000,19102.7,18952.9,-92.41823407162329
1663072260000,1663075860000,1663090260000,21403.8,20893.4,-252.4623291191279
1663553880000,1663557480000,1663571880000,18818.4,18437.9,-216.19572333460835
1663789560000,1663793160000,1663807560000,18856.4,18411.7,-249.83504804734812
1664295300000,1664298900000,1664313300000,18935.1,19023.6,32.738596574615876
1667880720000,1667884320000,1667898720000,19573.0,19735.0,68.76707709599984
1667928780000,1667932380000,1667946780000,18818.6,18538.3,-162.9483808572367
1667989260000,1667992860000,1668007260000,17828.8,17716.0,-77.26841963564478
1668102000000,1668105600000,1668120000000,17293.9,17828.1,294.8950439172167
1668176280000,1668179880000,1668194280000,16908.5,16812.4,-70.83531951385268
1668436080000,1668439680000,1668454080000,16507.8,16527.4,-2.1268248948962274
1671046500000,1671050100000,1671064500000,17693.3,17824.4,60.09584418961002
1673689500000,1673693100000,1673707500000,20445.1,20752.0,136.1093171468959
1674058080000,1674061680000,1674076080000,20962.9,20769.0,-106.49674424817277
1674687420000,1674691020000,1674705420000,23089.4,23128.4,2.8908676708801053
1675971180000,1675974780000,1675989180000,21918.1,21804.9,-65.64681245180769
1676671980000,1676675580000,1676689980000,24619.0,24551.5,-41.41784800357472
1677254700000,1677258300000,1677272700000,23144.7,23195.4,7.905663067571801
1677807120000,1677810720000,1677825120000,22338.5,22373.3,1.5784855742324702
1678395480000,1678399080000,1678413480000,20210.0,20095.1,-70.85304304799632
1678821360000,1678824960000,1678839360000,24945.5,24625.4,-142.31973702671752
1679511900000,1679515500000,1679529900000,26858.5,27264.2,137.05087774820004
1679929260000,1679932860000,1679947260000,26872.6,27001.2,33.85543639246104
1681892580000,1681896180000,1681910580000,29147.3,29225.0,12.657700713272892
1682537700000,1682541300000,1682555700000,27885.4,29360.1,514.8430504851993
1683739020000,1683742620000,1683757020000,27410.2,27500.9,19.08987165361765
1685980860000,1685984460000,1685998860000,25767.8,25621.5,-70.77628668337987
1686775800000,1686779400000,1686793800000,25052.4,25039.9,-18.98954192013512
1688132520000,1688136120000,1688150520000,30093.6,30326.2,63.29218172634722
1692308580000,1692312180000,1692326580000,26312.5,26543.0,73.60095011876467
1697466600000,1697470200000,1697484600000,28099.4,28572.4,154.3309963913815
1698104520000,1698108120000,1698122520000,33582.1,34457.3,246.61503003088183
1699546320000,1699549920000,1699564320000,36349.9,36713.7,86.08280628007071
1699988040000,1699991640000,1700006040000,35289.2,35565.4,64.26757194835832
