detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1673480160000,1673483760000,1673498160000,17939.8,18211.9,-165.6739317049254
1673545860000,1673549460000,1673563860000,18776.6,18861.9,-59.428884888638606
1673646540000,1673650140000,1673664540000,19826.4,20959.9,-585.7124641891625
1674063900000,1674067500000,1674081900000,20915.5,20759.0,60.82489063134979
1674245460000,1674249060000,1674263460000,22282.6,22575.9,-145.6273684399505
1674295560000,1674299160000,1674313560000,22748.6,22971.9,-112.15988676226351
1674684060000,1674687660000,1674702060000,22890.0,23185.6,-143.13936216688347
1675299240000,1675302840000,1675317240000,23976.0,23861.5,33.75608942275578
1676493360000,1676496960000,1676511360000,24085.6,24625.1,-237.99275915899963
1678499820000,1678503420000,1678517820000,20459.9,20243.4,91.81674397235562
1678643220000,1678646820000,1678661220000,21191.7,21788.5,-295.61969072797444
1678801560000,1678805160000,1678819560000,25904.0,25457.2,158.4830142062994
1679091780000,1679095380000,1679109780000,27464.7,27269.5,57.073050133444454
1679519280000,1679522880000,1679537280000,27149.5,27179.5,-25.04992725464493
1679583660000,1679587260000,1679601660000,28626.5,28271.0,110.18563219394608
1679662080000,1679665680000,1679680080000,27705.7,27666.5,0.14871308070164702
1682512560000,1682516160000,1682530560000,29790.8,29800.0,-17.08820172670865
1683149760000,1683153360000,1683167760000,29170.4,29040.0,30.70284946384018
1685311740000,1685315340000,1685329740000,28088.0,28092.2,-15.49530048419333
1686060660000,1686064260000,1686078660000,26008.9,26708.2,-282.86950236265193
1686419100000,1686422700000,1686437100000,25683.8,25896.1,-96.65910807590649
1687286280000,1687289880000,1687304280000,27872.1,28286.3,-162.60738875075884
1687364820000,1687368420000,1687382820000,29979.5,29970.0,-10.831167964775888
1687536660000,1687540260000,1687554660000,31096.1,30885.0,53.8863265811469
1688145780000,1688149380000,1688163780000,30439.3,30486.0,-29.34200852187917
1692312240000,1692315840000,1692330240000,26693.5,26427.1,85.79957667597073
1694488920000,1694492520000,1694506920000,25831.2,25823.0,-10.825544303012956
1696198860000,1696202460000,1696216860000,27940.0,27970.6,-24.952040085898673
1697433660000,1697437260000,1697451660000,27871.2,27707.5,44.734464249835526
1698101160000,1698104760000,1698119160000,32847.6,34449.0,-501.52420268147523
1699381020000,1699384620000,1699399020000,35457.7,35367.9,11.325951767879438
1699539360000,1699542960000,1699557360000,37741.3,36312.1,364.68329919743206
1700072160000,1700075760000,1700090160000,37389.5,37804.3,-124.94023723237979
1700583180000,1700586780000,1700601180000,37251.9,36979.2,59.204319779663905
1701544380000,1701547980000,1701562380000,39341.4,39437.1,-38.32551968155616
1701796560000,1701800160000,1701814560000,43711.2,44188.8,-123.26261461593478
1702264380000,1702267980000,1702282380000,42211.8,42067.9,20.089993793204876
