detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1609591440000,1609593240000,1609607640000,30862.87,32667.8,-598.8224743842678
1609650420000,1609652220000,1609666620000,34131.59,34177.97,-27.58858465134727
1609705500000,1609707300000,1609721700000,33639.77,32859.22,218.03190747142278
1609759020000,1609760820000,1609775220000,30283.51,31706.01,-483.7275844180537
1609804980000,1609806780000,1609821180000,32565.0,31388.08,347.4064179333632
1609858920000,1609860720000,1609875120000,32100.0,34236.1,-679.4517133956373
1609907040000,1609908840000,1609923240000,35576.0,34596.04,261.4553631661794
1609966800000,1609968600000,1609983000000,36070.01,36999.92,-271.80697038897404
1610035800000,1610037600000,1610052000000,39426.95,38953.79,106.0092829904409
1610100480000,1610102280000,1610116680000,40153.02,41459.58,-339.39520065987705
1610182980000,1610184780000,1610199180000,40500.01,40994.19,-136.01972295809327
1610284020000,1610285820000,1610300220000,39937.37,37576.98,577.0228940964313
1610339880000,1610341680000,1610356080000,35847.0,35192.0,168.72100873155338
1610385480000,1610387280000,1610401680000,32625.98,34017.33,-440.45462297224543
1610430840000,1610432640000,1610447040000,36208.0,35199.01,264.66493592576205
1610507760000,1610509560000,1610523960000,33916.64,34996.4,-332.3570070620201
1610564640000,1610566440000,1610580840000,35894.01,37221.3,-383.7803616815176
1610730420000,1610732220000,1610746620000,35979.44,36208.65,-77.70582755039989
1610787720000,1610789520000,1610803920000,37490.55,37593.69,-41.510932755054895
1610918820000,1610920620000,1610935020000,36583.76,36051.99,131.3568468631994
1610971620000,1610973420000,1610987820000,37265.64,36250.94,258.2883600013304
1611162360000,1611164160000,1611178560000,34768.9,34837.16,-33.63248765419756
1611234540000,1611236340000,1611250740000,32641.11,31677.06,281.34841186466986
1611281520000,1611283320000,1611297720000,30575.99,31703.13,-382.6356516992584
1611341760000,1611343560000,1611357960000,33463.05,33044.25,111.15296722803271
1611547740000,1611549540000,1611563940000,33457.13,33396.59,4.094797730707768
1611675960000,1611677760000,1611692160000,31375.88,32358.8,-327.2724882935545
1611762480000,1611764280000,1611778680000,30591.36,31184.01,-207.7311711542078
1611909840000,1611911640000,1611926040000,35914.2,37366.89,-418.4890321933958
1611953700000,1611955500000,1611969900000,34727.86,34853.59,-50.204361570220115
1612144380000,1612146180000,1612160580000,33734.84,33885.22,-58.577060392165805
1612256880000,1612258680000,1612273080000,35340.44,34884.36,115.05328852725106
1612788360000,1612790160000,1612804560000,43096.26,42973.55,14.473468463388052
1613049540000,1613051340000,1613065740000,47901.29,47383.31,94.13487486453943
1613282460000,1613284260000,1613298660000,48969.61,49437.33,-109.51229834176667
1613478720000,1613480520000,1613494920000,49790.74,48444.92,256.2952396369285
1613825100000,1613826900000,1613841300000,57114.5,57451.0,-72.91673743094961
1614006600000,1614008400000,1614022800000,53424.01,53594.83,-45.974387545974366
1614060900000,1614062700000,1614077100000,50115.45,47244.01,558.9650237601369
1614112860000,1614114660000,1614129060000,47741.17,48919.19,-260.751388790849
1614258720000,1614260520000,1614274920000,51650.02,49794.01,345.34352009931337
1614308520000,1614310320000,1614324720000,47513.51,45605.02,387.6731241282756
1614355860000,1614357660000,1614372060000,47957.59,46490.65,291.88276016371816
1614559980000,1614561780000,1614576180000,46008.55,46254.75,-67.51179291675167
1615254720000,1615256520000,1615270920000,53521.4,54232.73,-146.9057162181857
1615630380000,1615632180000,1615646580000,59520.83,59983.44,-91.72237047097619
1616006640000,1616008440000,1616022840000,57619.71,58667.96,-195.92559455783464
1616082660000,1616084460000,1616098860000,59778.34,57587.88,352.43038264361326
1616570040000,1616571840000,1616586240000,55394.53,56441.89,-203.07282000587333
1618028460000,1618030260000,1618044660000,60894.03,60685.97,20.16755304255559
1618302660000,1618304460000,1618318860000,62670.63,63107.01,-83.63070261141624
1618719720000,1618721520000,1618735920000,55261.96,55105.12,14.381186624577559
1619174400000,1619176200000,1619190600000,49429.99,49110.0,50.736003385797986
1619390760000,1619392560000,1619406960000,48678.18,52230.5,-743.7561248181416
1620176520000,1620178320000,1620192720000,54731.23,54756.53,-18.622589333365124
1620867720000,1620869520000,1620883920000,49889.99,50930.79,-222.6190035315716
1620935040000,1620936840000,1620951240000,49202.81,50053.93,-186.98199025624905
1621110480000,1621112280000,1621126680000,48286.96,47367.3,176.45721660671865
1621201620000,1621203420000,1621217820000,46218.9,45208.45,204.62268465930646
1621278120000,1621279920000,1621294320000,44170.63,43503.61,137.00984522973704
1621410900000,1621412700000,1621427100000,40001.63,38494.0,362.8921416452275
1621454100000,1621455900000,1621470300000,39407.58,37471.27,477.3547089164072
1621513080000,1621514880000,1621529280000,41776.48,38449.99,782.2590433660288
1621557780000,1621559580000,1621573980000,41666.65,39681.95,462.32819053127776
1621634100000,1621635900000,1621650300000,36274.46,37844.16,-446.7287022329229
1621680480000,1621682280000,1621696680000,38154.26,37171.76,243.5072875217599
1621731720000,1621733520000,1621747920000,38058.78,36872.0,297.82817736143954
1621780860000,1621782660000,1621797060000,33538.67,32426.66,317.5605538323374
1621839720000,1621841520000,1621855920000,36296.55,37127.44,-242.9170733857615
1621885500000,1621887300000,1621901700000,39514.99,38904.26,140.5565366459656
1622010960000,1622012760000,1622027160000,40399.98,39628.52,176.95554007700133
1622204700000,1622206500000,1622220900000,36407.2,36166.89,52.0061746028251
1622268000000,1622269800000,1622284200000,36867.92,35223.04,432.1548142667115
1622446920000,1622448720000,1622463120000,35735.87,37125.45,-402.84739618763933
1622556240000,1622558040000,1622572440000,36861.42,36245.26,153.15579595143026
1622812260000,1622814060000,1622828460000,36886.01,37141.39,-83.23492131569509
1623139620000,1623141420000,1623155820000,33205.88,32955.44,61.42037735485229
1623185220000,1623187020000,1623201420000,33527.81,32992.56,145.64359139472583
1623251820000,1623253620000,1623268020000,36327.84,35991.33,78.63143638597704
1623319020000,1623320820000,1623335220000,38135.26,37235.68,221.89192783791236
1623601860000,1623603660000,1623618060000,36960.01,39111.92,-596.2265740728949
1623676020000,1623677820000,1623692220000,40496.61,40138.99,74.30862632699498
1624278600000,1624280400000,1624294800000,32267.97,32162.98,18.536908891387384
1624324440000,1624326240000,1624340640000,32532.43,32592.73,-32.5353507254149
1624373460000,1624375260000,1624389660000,30899.48,32733.34,-607.4921882180544
1624554480000,1624556280000,1624570680000,34760.19,34716.7,-1.4885609083252636
1624708380000,1624710180000,1624724580000,31656.79,30932.39,214.8292653803503
1624831980000,1624833780000,1624848180000,34180.0,34471.33,-99.23405500292513
1627258440000,1627260240000,1627274640000,35771.2,38437.5,-759.3761685378191
1627498080000,1627499880000,1627514280000,40391.89,39823.8,126.6445699866965
1627678140000,1627679940000,1627694340000,40892.67,41929.92,-267.65181583887784
1628174940000,1628176740000,1628191140000,39186.74,41259.54,-542.9544371386867
1628265540000,1628267340000,1628281740000,42617.34,42586.84,-6.843288670761881
1628503440000,1628505240000,1628519640000,45120.09,45689.64,-140.2298014033214
1631030940000,1631032740000,1631047140000,47077.17,46626.82,81.66207994235798
1631092740000,1631094540000,1631108940000,46097.28,46406.12,-80.99744540241915
1631540580000,1631542380000,1631556780000,44265.83,44417.36,-48.23182170084749
1632187380000,1632189180000,1632203580000,42482.0,42518.98,-22.704863236195237
1632262560000,1632264360000,1632278760000,40989.95,42035.78,-269.14302896197717
1632492180000,1632493980000,1632508380000,42347.62,42118.83,40.02664895925668
1632649500000,1632651300000,1632665700000,43152.79,43117.74,-5.877697826722082
1632964260000,1632966060000,1632980460000,42856.59,43492.6,-162.40424774813067
1633084140000,1633085940000,1633100340000,47125.53,47087.86,-6.0064559486121425
1633525920000,1633527720000,1633542120000,54377.44,54741.0,-80.85860901138429
1634137620000,1634139420000,1634153820000,56201.62,57031.4,-161.64343091889566
1634265480000,1634267280000,1634281680000,59328.09,59633.27,-65.43937719889414
1634566200000,1634568000000,1634582400000,61900.0,61965.87,-24.641357027463272
1634738520000,1634740320000,1634754720000,66547.92,66689.05,-35.20727439715697
1634990580000,1634992380000,1635006780000,61696.98,61267.1,55.67601979870119
1635450000000,1635451800000,1635466200000,61987.79,60641.23,203.22987704513974
1635750960000,1635752760000,1635767160000,62135.75,62027.73,3.3845169648711995
1635847560000,1635849360000,1635863760000,63370.7,63494.96,-33.60843102569498
1635966060000,1635967860000,1635982260000,63090.11,62933.56,10.813714859587279
1636331760000,1636333560000,1636347960000,65623.85,65179.0,53.78785456811876
1636553580000,1636555380000,1636569780000,68476.62,68164.53,31.57613971016616
1637149020000,1637150820000,1637165220000,60599.99,59525.48,163.3119104475096
1637432820000,1637434620000,1637449020000,59530.0,59694.99,-41.715437594488805
1637588280000,1637590080000,1637604480000,58761.59,57266.08,240.50468579900522
1637663880000,1637665680000,1637680080000,56286.26,57533.76,-235.63490699151023
1638137040000,1638138840000,1638153240000,56201.1,57584.04,-260.06991678098876
1638599160000,1638600960000,1638615360000,47349.15,47200.01,17.497925517142143
1638828720000,1638830520000,1638844920000,50750.06,50674.93,0.8039233845231877
1638974940000,1638976740000,1638991140000,50842.91,50475.69,58.22639302117085
1639595040000,1639596840000,1639611240000,48334.65,48764.76,-102.98585176472685
1639758600000,1639760400000,1639774800000,47060.69,46171.26,174.9963789311211
1640060580000,1640062380000,1640076780000,48562.48,48617.23,-25.27413591727633
1640284200000,1640286000000,1640300400000,50582.98,50741.01,-45.24173387965668
1640939880000,1640941680000,1640956080000,48465.75,48012.26,79.56916998086274
1641574380000,1641576180000,1641590580000,41881.77,41931.91,-25.97179584339514
1641828840000,1641830640000,1641845040000,40887.62,41320.01,-119.75083607214042
1641919380000,1641921180000,1641935580000,43033.28,42750.06,51.8141791655209
1642849800000,1642851600000,1642866000000,35300.25,34962.8,81.59422383694115
1642980360000,1642982160000,1642996560000,36236.98,35360.94,227.75303791872273
1643046180000,1643047980000,1643062380000,35920.0,36727.99,-238.94153674832873
1643224020000,1643225820000,1643240220000,37782.56,36815.01,242.08375927941296
1643325300000,1643327100000,1643341500000,36980.01,37343.43,-112.27471652928077
1643987700000,1643989500000,1644003900000,39372.38,40498.5,-300.0177616897941
1644353340000,1644355140000,1644369540000,43998.77,44035.45,-22.33659668213471
1644505380000,1644507180000,1644521580000,45138.76,44620.0,100.92562046454103
1645453200000,1645455000000,1645469400000,38623.7,38236.8,86.17165626286295
