detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1673660460000,1673660460000,1673674860000,1551.61,1550.0,-24.37631879144851
1674057780000,1674057780000,1674072180000,1540.47,1541.14,-9.650678039817993
1674599460000,1674599460000,1674613860000,1556.21,1539.61,-120.66940837033678
1674688020000,1674688020000,1674702420000,1584.35,1617.2,193.34054975226624
1675971060000,1675971060000,1675985460000,1571.8,1545.11,-183.80531874284276
1677807060000,1677807060000,1677821460000,1592.33,1568.26,-165.16213347735717
1678394760000,1678394760000,1678409160000,1442.98,1424.73,-140.47437940927819
1678521900000,1678521900000,1678536300000,1408.46,1427.86,123.73909092199997
1678822020000,1678822020000,1678836420000,1696.8,1699.77,3.503536067893233
1681892580000,1681892580000,1681906980000,1982.82,1976.27,-47.03375999838543
1682537700000,1682537700000,1682552100000,1887.35,1860.59,-155.7861022067979
1683739020000,1683739020000,1683753420000,1810.04,1851.42,214.61373229321026
1685981160000,1685981160000,1685995560000,1789.07,1804.71,73.41972086055982
1686773460000,1686773460000,1686787860000,1680.81,1649.55,-199.98175879486644
1688132880000,1688132880000,1688147280000,1828.04,1937.65,585.6039473972137
1689361500000,1689361500000,1689375900000,1902.84,1926.25,109.0266338735797
1692308520000,1692308520000,1692322920000,1645.33,1688.8,250.20231807601004
1698162000000,1698162000000,1698176400000,1762.9,1780.05,83.28288615349578
1699988160000,1699988160000,1700002560000,1960.34,1984.65,110.00910046216573
1702260960000,1702260960000,1702275360000,2224.68,2247.95,90.59931315964566
1704283320000,1704283320000,1704297720000,2229.55,2238.02,23.989728869054495
1704989460000,1704989460000,1705003860000,2592.52,2627.94,122.6238254671126
1705080300000,1705080300000,1705094700000,2588.66,2547.1,-174.5463830707776
1706002560000,1706002560000,1706016960000,2235.81,2213.35,-114.45576323569504
1709143500000,1709143500000,1709157900000,3319.58,3328.61,13.202236427501525
1709655360000,1709655360000,1709669760000,3684.12,3432.45,-697.121070974887
1709730540000,1709730540000,1709744940000,3782.86,3808.59,54.017320228610515
1709913900000,1709913900000,1709928300000,3839.85,3952.78,280.100029949087
1710118380000,1710118380000,1710132780000,3762.0,3859.93,246.31366294524184
1710470760000,1710470760000,1710485160000,3754.21,3748.22,-29.9554207143453
1710838320000,1710838320000,1710852720000,3252.01,3298.69,129.54199402830892
1710909060000,1710909060000,1710923460000,3132.6,3222.29,272.31168996999355
1711549560000,1711549560000,1711563960000,3535.61,3490.57,-141.3896159361465
1712025480000,1712025480000,1712039880000,3375.91,3380.47,-0.49253090277966294
1712943060000,1712943060000,1712957460000,3310.65,3220.9,-285.0948001147806
1713038040000,1713038040000,1713052440000,3099.25,3012.72,-293.19657981769876
1714547340000,1714547340000,1714561740000,2856.2,2888.76,99.99761921434104
1715352780000,1715352780000,1715367180000,2925.66,2907.48,-76.13982486003133
1716470340000,1716470340000,1716484740000,3815.02,3814.05,-16.542581690265777
1717783500000,1717783500000,1717797900000,3607.86,3692.62,220.93151064619911
1718675040000,1718675040000,1718689440000,3372.62,3455.31,231.18030492614028
