detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1609620960000,1609622760000,1609709160000,767.88,950.66,2366.3198416419223
1609693800000,1609695600000,1609782000000,942.13,1006.55,669.7697557661882
1609744860000,1609746660000,1609833060000,1056.99,1007.44,-482.78399984862654
1609795680000,1609797480000,1609883880000,1007.37,1085.28,759.4000416927245
1609963440000,1609965240000,1610051640000,1172.9,1233.07,499.0019609514869
1610007540000,1610009340000,1610095740000,1197.8,1193.66,-48.56336617131295
1610061060000,1610062860000,1610149260000,1222.05,1221.71,-16.782210220529933
1610111400000,1610113200000,1610199600000,1244.5,1229.7,-132.923262354359
1610154600000,1610156400000,1610242800000,1190.73,1332.55,1177.034071535948
1610277900000,1610279700000,1610366100000,1286.0,1078.0,-1631.4183514774497
1610323860000,1610325660000,1610412060000,1231.0,1062.73,-1380.9374492282693
1610367060000,1610368860000,1610455260000,1099.79,1092.48,-80.46723465388749
1610410800000,1610412600000,1610499000000,1067.33,1007.99,-569.9667581722605
1610457900000,1610459700000,1610546100000,1043.0,1068.09,226.5560882070934
1610659020000,1610660820000,1610747220000,1184.37,1165.8,-170.79221864788872
1610722080000,1610723880000,1610810280000,1180.46,1238.43,477.0797485725915
1610833140000,1610834940000,1610921340000,1209.88,1265.83,448.44255628657305
1610940480000,1610942280000,1611028680000,1196.53,1329.7,1098.9683334308372
1611061020000,1611062820000,1611149220000,1399.79,1276.85,-892.2745983326079
1611115020000,1611116820000,1611203220000,1348.51,1331.04,-143.55039265559742
1611158460000,1611160260000,1611246660000,1307.0,1214.91,-718.5906656465183
1611204780000,1611206580000,1611292980000,1291.01,1158.94,-1036.997498082896
1611249300000,1611251100000,1611337500000,1196.79,1227.24,240.43060185997624
1611302820000,1611304620000,1611391020000,1154.0,1268.42,977.5077989601384
1611516720000,1611518520000,1611604920000,1333.65,1381.15,342.16541071495476
1611610080000,1611611880000,1611698280000,1346.13,1337.28,-79.74402175124393
1611665940000,1611667740000,1611754140000,1277.32,1264.27,-116.16703723420872
1611737760000,1611739560000,1611825960000,1256.87,1279.16,163.34531017527866
1611788880000,1611790680000,1611877080000,1242.24,1346.55,825.6928129829972
1611894060000,1611895860000,1611982260000,1305.09,1347.34,309.7324628952787
1611977880000,1611979680000,1612066080000,1347.14,1364.85,117.463693454279
1612107420000,1612109220000,1612195620000,1314.01,1308.65,-54.79116597286103
1612429800000,1612431600000,1612518000000,1629.14,1668.94,230.30067397522626
1612575720000,1612577520000,1612663920000,1684.4,1637.38,-293.14984564236465
1612664160000,1612665960000,1612752360000,1630.62,1587.33,-279.48184126283235
