detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1609591500000,1609595100000,1609609500000,771.99,779.83,-115.55571963367471
1609664820000,1609668420000,1609682820000,828.27,874.0,-566.1146486049245
1609712400000,1609716000000,1609730400000,984.99,991.53,-80.39661316358402
1609758900000,1609762500000,1609776900000,975.46,1001.29,-278.79814651549026
1609804860000,1609808460000,1609822860000,1106.29,1005.76,894.7129052960796
1609859040000,1609862640000,1609877040000,1043.12,1088.25,-446.6443745686026
1609906860000,1609910460000,1609924860000,1109.94,1098.16,92.1318629835839
1609950180000,1609953780000,1609968180000,1187.42,1178.75,59.01544525104897
1610035860000,1610039460000,1610053860000,1266.79,1253.85,88.14794875235911
1610079240000,1610082840000,1610097240000,1164.08,1195.49,-283.8268160263906
1610123640000,1610127240000,1610141640000,1224.38,1184.77,309.510674790507
1610225040000,1610228640000,1610243040000,1286.59,1334.02,-382.6489091318923
1610283840000,1610287440000,1610301840000,1304.09,1307.26,-38.308138241992964
1610339880000,1610343480000,1610357880000,1103.26,1101.28,3.946812174827187
1610385540000,1610389140000,1610403540000,999.69,1059.4,-611.2851583991035
1610430180000,1610433780000,1610448180000,1146.85,1080.98,560.3558442690844
1610473740000,1610477340000,1610491740000,1101.13,1058.91,369.42430049131406
1610519520000,1610523120000,1610537520000,1070.38,1077.5,-80.51843270613966
1610564580000,1610568180000,1610582580000,1107.29,1139.31,-303.17447100578863
1610609340000,1610612940000,1610627340000,1160.32,1158.65,0.39258135686571904
1610668860000,1610672460000,1610686860000,1239.05,1209.64,223.35926718050027
1610730060000,1610733660000,1610748060000,1158.63,1160.11,-26.773706877948765
1610803620000,1610807220000,1610821620000,1229.2,1258.39,-251.4715261959004
1610874420000,1610878020000,1610892420000,1184.41,1202.13,-163.6103545225047
1610918820000,1610922420000,1610936820000,1258.35,1241.38,120.85914093852912
1610971800000,1610975400000,1610989800000,1246.73,1234.29,85.7810271670696
1611019440000,1611023040000,1611037440000,1319.71,1330.34,-94.54799918163712
1611072480000,1611076080000,1611090480000,1423.14,1399.15,154.57090658684348
1611147720000,1611151320000,1611165720000,1315.46,1315.61,-15.140285527494456
1611234420000,1611238020000,1611252420000,1242.21,1188.1,421.5946257074095
1611279120000,1611282720000,1611297120000,1144.89,1174.87,-275.8592179161294
1611460860000,1611464460000,1611478860000,1326.35,1329.3,-36.24148980284335
1611509580000,1611513180000,1611527580000,1353.35,1357.26,-42.89126981194812
1611621360000,1611624960000,1611639360000,1360.86,1340.35,136.71351939214938
1611675840000,1611679440000,1611693840000,1306.89,1341.24,-276.8377292656614
1611762360000,1611765960000,1611780360000,1291.82,1280.13,76.49248347292816
1611814500000,1611818100000,1611832500000,1290.36,1307.53,-147.06364115440726
1611881580000,1611885180000,1611899580000,1346.11,1306.06,283.5239764952342
1611958320000,1611961920000,1611976320000,1392.0,1350.94,280.97126436781593
1612143900000,1612147500000,1612161900000,1312.88,1327.2,-123.07318262141308
1612224900000,1612228500000,1612242900000,1383.6,1381.53,0.9609713790110899
1612283460000,1612287060000,1612301460000,1488.0,1526.71,-274.1478494623666
1612366440000,1612370040000,1612384440000,1597.31,1634.32,-245.70204906999948
1612433520000,1612437120000,1612451520000,1630.96,1579.07,304.15617795654117
1612495140000,1612498740000,1612513140000,1635.77,1664.0,-186.57927459239485
1612718100000,1612721700000,1612736100000,1559.16,1590.0,-211.7988147464016
1612788960000,1612792560000,1612806960000,1683.27,1712.6,-188.24417948397996
1612859280000,1612862880000,1612877280000,1813.95,1731.42,440.9739518729845
1613359380000,1613362980000,1613377380000,1709.8,1765.81,-341.5821733536088
1613612460000,1613616060000,1613630460000,1916.86,1906.15,41.87262502217083
1613864520000,1613868120000,1613882520000,1915.99,1941.14,-145.26373310925476
1614006660000,1614010260000,1614024660000,1738.09,1775.82,-231.07736653453048
1614060840000,1614064440000,1614078840000,1590.07,1491.52,605.7840346651407
1614112860000,1614116460000,1614130860000,1544.37,1593.64,-333.02976618297663
1614183660000,1614187260000,1614201660000,1656.89,1567.69,524.3580080753702
1614313440000,1614317040000,1614331440000,1493.0,1461.63,196.11386470194182
1614387060000,1614390660000,1614405060000,1494.73,1502.16,-63.70797401537386
1614530280000,1614533880000,1614548280000,1342.38,1411.38,-528.0124256916812
1614587640000,1614591240000,1614605640000,1496.99,1530.72,-239.3188064048528
1614775260000,1614778860000,1614793260000,1611.76,1618.76,-57.43078373951536
1614965340000,1614968940000,1614983340000,1521.07,1542.68,-156.07104209536857
1615010460000,1615014060000,1615028460000,1581.64,1568.35,70.02670645659028
1615161060000,1615164660000,1615179060000,1743.52,1727.51,77.82573185280374
1615247100000,1615250700000,1615265100000,1819.79,1843.61,-144.89422405881956
1615414260000,1615417860000,1615432260000,1828.51,1800.8,137.54415343640483
1615631460000,1615635060000,1615649460000,1872.11,1881.68,-65.11879109667817
