detect_ts,entry_ts,exit_ts,entry_px,exit_px,net_ret_bp
1673656740000,1673660340000,1673674740000,1550.58,1550.12,-11.03336815901178
1681432920000,1681436520000,1681450920000,2118.11,2119.0,-18.201859204666647
1692312240000,1692315840000,1692330240000,1692.75,1679.5,64.27499630778334
1693320180000,1693323780000,1693338180000,1719.46,1741.05,-139.56267665429831
1710955920000,1710959520000,1710973920000,3312.5,3507.65,-603.1320754716988
1722823860000,1722827460000,1722841860000,2299.07,2290.1,25.0157759441867
1722867240000,1722870840000,1722885240000,2421.89,2375.38,178.04010091292244
1738552080000,1738555680000,1738570080000,2527.1,2587.69,-253.76099085908808
1738596300000,1738599900000,1738614300000,2703.47,2738.68,-144.24002485694243
1740936960000,1740940560000,1740954960000,2466.6,2514.5,-208.1944376875049
1741109760000,1741113360000,1741127760000,2131.99,2180.41,-241.11175943602058
1744036020000,1744039620000,1744054020000,1541.14,1544.74,-37.3593314040248
1744219500000,1744223100000,1744237500000,1663.78,1680.77,-116.11686641262708
1752183780000,1752187380000,1752201780000,2962.03,2963.17,-17.848711863148058
1760134620000,1760138220000,1760152620000,3837.63,3785.76,121.16154501606482
1769888640000,1769892240000,1769906640000,2371.31,2450.24,-346.85399209719515
1770150720000,1770154320000,1770168720000,2303.17,2272.08,120.98786455190094
1770340200000,1770343800000,1770358200000,1927.02,1959.1,-180.4746603564038
