variant,symbol,direction,ret_threshold,oi_threshold,entry_delay_min,exit_hold_h,n_events,mean_net_bp,median_net_bp,win_rate,std_bp,t_stat,null_percentile,edge_vs_null_bp,significant,year_breakdown
btc_long_ret-2_oi-1_entry0_exit4h,BTCUSDT,long,-0.02,-0.01,0,4,180,1.2563161660128508,4.252224389178062,0.5055555555555555,178.17800243464086,0.09459781712842305,96.5,13.244521422049592,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 9.062626900981867}, ""2024"": {""n"": 76, ""mean_bp"": 8.260878350870398}, ""2025"": {""n"": 41, ""mean_bp"": -32.158768485281875}, ""2026"": {""n"": 16, ""mean_bp"": 30.67976242291075}}"
btc_long_ret-2_oi-1_entry0_exit24h,BTCUSDT,long,-0.02,-0.01,0,24,180,57.01711449567071,37.77088931091811,0.5666666666666667,317.10336774834354,2.4123517476053236,100.0,59.87530581018544,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 43.655430455827116}, ""2024"": {""n"": 76, ""mean_bp"": 83.77372646351834}, ""2025"": {""n"": 41, ""mean_bp"": 50.55788813043936}, ""2026"": {""n"": 16, ""mean_bp"": -14.275077923659673}}"
btc_long_ret-2_oi-1_entry0_exit72h,BTCUSDT,long,-0.02,-0.01,0,72,180,83.36953220257075,68.06491566991825,0.6055555555555555,471.922636027114,2.3701334967953778,97.5,59.33252403447027,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 134.3347008211907}, ""2024"": {""n"": 76, ""mean_bp"": 74.9971300984153}, ""2025"": {""n"": 41, ""mean_bp"": 86.12243897185685}, ""2026"": {""n"": 16, ""mean_bp"": -33.626064216182314}}"
btc_long_ret-2_oi-1_entry30_exit4h,BTCUSDT,long,-0.02,-0.01,30,4,180,3.886792095261007,-1.7111650130345755,0.4888888888888889,164.1864412632106,0.3176071521818122,100.0,15.732906700640683,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 20.705915321847232}, ""2024"": {""n"": 76, ""mean_bp"": -14.405985356508731}, ""2025"": {""n"": 41, ""mean_bp"": -3.7299144060219724}, ""2026"": {""n"": 16, ""mean_bp"": 60.88912092260783}}"
btc_long_ret-2_oi-1_entry30_exit24h,BTCUSDT,long,-0.02,-0.01,30,24,180,63.43741088776278,29.264266988815024,0.5777777777777777,318.4542582801858,2.672604169170542,100.0,63.88205968301315,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 66.51478857691846}, ""2024"": {""n"": 76, ""mean_bp"": 75.66727156051483}, ""2025"": {""n"": 41, ""mean_bp"": 63.38149034835786}, ""2026"": {""n"": 16, ""mean_bp"": -3.55092788747897}}"
btc_long_ret-2_oi-1_entry30_exit72h,BTCUSDT,long,-0.02,-0.01,30,72,180,91.54212464427617,65.39049272918774,0.6111111111111112,473.31030773002385,2.5948441455805096,96.5,66.70770776360547,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 154.30903037297736}, ""2024"": {""n"": 76, ""mean_bp"": 65.1204864767963}, ""2025"": {""n"": 41, ""mean_bp"": 104.56696977546278}, ""2026"": {""n"": 16, ""mean_bp"": -0.7090452869198884}}"
btc_long_ret-2_oi-1_entry60_exit4h,BTCUSDT,long,-0.02,-0.01,60,4,180,4.024829316328133,0.3392684402976478,0.5055555555555555,161.8304530826202,0.33367484713951817,99.0,15.991268043317497,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 22.776547108051762}, ""2024"": {""n"": 76, ""mean_bp"": -3.0222244383865493}, ""2025"": {""n"": 41, ""mean_bp"": -17.495516201393798}, ""2026"": {""n"": 16, ""mean_bp"": 37.56104902719713}}"
btc_long_ret-2_oi-1_entry60_exit24h,BTCUSDT,long,-0.02,-0.01,60,24,180,53.0460056314251,22.76378361564869,0.5444444444444444,304.39268199363727,2.338055049480774,99.5,53.411643461407074,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 55.781371129977295}, ""2024"": {""n"": 76, ""mean_bp"": 69.11045167766578}, ""2025"": {""n"": 41, ""mean_bp"": 51.491666719098035}, ""2026"": {""n"": 16, ""mean_bp"": -27.31225577737703}}"
btc_long_ret-2_oi-1_entry60_exit72h,BTCUSDT,long,-0.02,-0.01,60,72,180,83.23673616773964,83.292924182093,0.5888888888888889,471.09132558928684,2.3705339944028108,96.5,58.17585593697068,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 141.0219112755934}, ""2024"": {""n"": 76, ""mean_bp"": 64.84667248143023}, ""2025"": {""n"": 41, ""mean_bp"": 99.37617683297437}, ""2026"": {""n"": 16, ""mean_bp"": -40.51172990627526}}"
btc_long_ret-2_oi-2_entry0_exit4h,BTCUSDT,long,-0.02,-0.02,0,4,121,11.718513151111072,20.613870512441025,0.5371900826446281,157.17453191436812,0.8201306095344449,100.0,22.601224632263904,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 10.22937155776786}, ""2024"": {""n"": 47, ""mean_bp"": 3.6167051162470334}, ""2025"": {""n"": 25, ""mean_bp"": 7.4581693738939565}, ""2026"": {""n"": 7, ""mean_bp"": 90.26673014960427}}"
