pair,M_over_N,threshold_pct,hit_count,total_intervals
A_BTC,0.3,50.0,21,172
A_BTC,0.3,80.0,2,172
A_BTC,0.3,100.0,2,172
A_BTC,0.4,50.0,6,172
A_BTC,0.4,80.0,1,172
A_BTC,0.4,100.0,0,172
A_BTC,0.5,50.0,2,172
A_BTC,0.5,80.0,0,172
A_BTC,0.5,100.0,0,172
B_ETH,0.3,50.0,49,235
B_ETH,0.3,80.0,6,235
B_ETH,0.3,100.0,2,235
B_ETH,0.4,50.0,13,235
B_ETH,0.4,80.0,1,235
B_ETH,0.4,100.0,0,235
B_ETH,0.5,50.0,5,235
B_ETH,0.5,80.0,0,235
B_ETH,0.5,100.0,0,235
C_HYPE,0.3,50.0,13,61
C_HYPE,0.3,80.0,1,61
C_HYPE,0.3,100.0,1,61
C_HYPE,0.4,50.0,5,61
C_HYPE,0.4,80.0,0,61
C_HYPE,0.4,100.0,0,61
C_HYPE,0.5,50.0,1,61
C_HYPE,0.5,80.0,0,61
C_HYPE,0.5,100.0,0,61
