conditioning_symbol,regime,asset_x,asset_y,n_intervals,regime_information_lag_calendar_days,median_return_horizon_calendar_days,max_return_horizon_calendar_days,pearson_correlation,spearman_correlation,hac_beta_y_on_x,hac_beta_standard_error,hac_beta_p_value,downside_correlation_x_bottom_20pct,lower_tail_probability_y_given_x,lower_tail_lift_vs_independence,joint_lower_tail_share,hac_beta_fdr_q_value
BTCUSDT,all,BTCUSDT,ETHUSDT,2037,,1,1,0.8135873579,0.8122046836,1.099477672,0.03427317139,4.294190346e-183,0.7420970236,0.681372549,6.81372549,0.06823760432,1.932385656e-181
BTCUSDT,uptrend_low_vol,BTCUSDT,ETHUSDT,663,1,1,1,0.7890644022,0.8133736159,1.021846283,0.04955611144,2.540166392e-73,0.6539421139,0.6865671642,6.865671642,0.06938159879,2.857687191e-72
BTCUSDT,uptrend_high_vol,BTCUSDT,ETHUSDT,242,1,1,1,0.7283625959,0.7153986743,1.01204375,0.09150546815,3.004085655e-23,0.6116115144,0.6,6,0.06198347107,2.253064242e-22
BTCUSDT,downtrend_low_vol,BTCUSDT,ETHUSDT,497,1,1,1,0.8904238184,0.8618893696,1.203555803,0.05501846784,1.012267086e-74,0.8634942547,0.78,7.8,0.07847082495,1.518400629e-73
BTCUSDT,downtrend_high_vol,BTCUSDT,ETHUSDT,352,1,1,1,0.8925748807,0.8897553108,1.226559538,0.04712295146,7.398397373e-84,0.771464868,0.6944444444,6.944444444,0.07102272727,1.664639409e-82
BTCUSDT,all,BTCUSDT,DJIA,1399,,1,4,0.3275536668,0.3104427793,0.08299452215,0.009217926121,6.970988349e-19,0.2635883859,0.2714285714,2.714285714,0.02716225876,2.614120631e-18
BTCUSDT,uptrend_low_vol,BTCUSDT,DJIA,454,1,1,4,0.290630097,0.2751338401,0.07536088976,0.01782458851,2.855660422e-05,0.2858103006,0.2391304348,2.391304348,0.02422907489,4.58945425e-05
BTCUSDT,uptrend_high_vol,BTCUSDT,DJIA,171,1,1,4,0.2814375308,0.263630691,0.06309417248,0.01899253718,0.001095232128,0.3334813905,0.3333333333,3.333333333,0.0350877193,0.001408155594
BTCUSDT,downtrend_low_vol,BTCUSDT,DJIA,338,1,1,4,0.4081975771,0.3671241727,0.1182390601,0.01865524392,7.484421665e-10,0.3655132902,0.2941176471,2.941176471,0.02958579882,1.871105416e-09
BTCUSDT,downtrend_high_vol,BTCUSDT,DJIA,242,1,1,4,0.4321723618,0.4349412224,0.1518532602,0.02800248109,1.428885271e-07,0.2863590265,0.32,3.2,0.03305785124,2.922719872e-07
BTCUSDT,all,BTCUSDT,NASDAQ100,1399,,1,4,0.3759512002,0.3721547536,0.1484183884,0.01443762877,6.033611201e-24,0.2565013044,0.2928571429,2.928571429,0.02930664761,5.430250081e-23
BTCUSDT,uptrend_low_vol,BTCUSDT,NASDAQ100,454,1,1,4,0.3295893089,0.3183295626,0.1284561178,0.02558562416,7.423187622e-07,0.3008597326,0.3043478261,3.043478261,0.03083700441,1.452362796e-06
BTCUSDT,uptrend_high_vol,BTCUSDT,NASDAQ100,171,1,1,4,0.2679059769,0.2751673987,0.08856452783,0.02445375922,0.0003866567234,0.3869107456,0.3333333333,3.333333333,0.0350877193,0.0005437360173
BTCUSDT,downtrend_low_vol,BTCUSDT,NASDAQ100,338,1,1,4,0.5030993889,0.4792486088,0.2365841663,0.02674603301,5.258948369e-17,0.38033721,0.4411764706,4.411764706,0.04437869822,1.735610485e-16
BTCUSDT,downtrend_high_vol,BTCUSDT,NASDAQ100,242,1,1,4,0.4891527933,0.4943068304,0.2691506378,0.04295715903,1.705626827e-09,0.3018781393,0.32,3.2,0.03305785124,4.039642485e-09
BTCUSDT,all,BTCUSDT,NIKKEI225,1363,,1,7,0.07203481654,0.01300726849,0.02793057054,0.01493471558,0.06167367598,0.2265807447,0.1678832117,1.678832117,0.01687454145,0.07500852484
