symbol,regime,start_date,end_date,observations,calendar_days,cumulative_next_return,max_drawdown
BTCUSDT,uptrend_low_vol,2021-10-10 00:00:00+00:00,2021-10-10 00:00:00+00:00,1,1,0.05118848263,0
BTCUSDT,uptrend_high_vol,2021-10-11 00:00:00+00:00,2021-10-13 00:00:00+00:00,3,3,-0.002118608327,-0.02588121289
BTCUSDT,uptrend_low_vol,2021-10-14 00:00:00+00:00,2021-10-14 00:00:00+00:00,1,1,0.07536208444,0
BTCUSDT,uptrend_high_vol,2021-10-15 00:00:00+00:00,2021-10-19 00:00:00+00:00,5,5,0.07069279231,-0.01258898975
BTCUSDT,uptrend_low_vol,2021-10-20 00:00:00+00:00,2021-12-03 00:00:00+00:00,45,45,-0.2562442253,-0.2732159529
BTCUSDT,downtrend_low_vol,2021-12-04 00:00:00+00:00,2021-12-05 00:00:00+00:00,2,2,0.02623471426,0
BTCUSDT,uptrend_low_vol,2021-12-06 00:00:00+00:00,2021-12-12 00:00:00+00:00,7,7,-0.07426496369,-0.07705586707
BTCUSDT,downtrend_low_vol,2021-12-13 00:00:00+00:00,2021-12-13 00:00:00+00:00,1,1,0.03522091828,0
BTCUSDT,uptrend_high_vol,2021-12-14 00:00:00+00:00,2021-12-15 00:00:00+00:00,2,2,-0.01447602477,-0.02549555478
BTCUSDT,uptrend_low_vol,2021-12-16 00:00:00+00:00,2021-12-16 00:00:00+00:00,1,1,-0.03147896566,-0.03147896566
BTCUSDT,downtrend_low_vol,2021-12-17 00:00:00+00:00,2021-12-18 00:00:00+00:00,2,2,0.01177877752,-0.003147642504
BTCUSDT,uptrend_low_vol,2021-12-19 00:00:00+00:00,2021-12-29 00:00:00+00:00,11,11,0.009136544184,-0.08621722416
BTCUSDT,downtrend_low_vol,2021-12-30 00:00:00+00:00,2022-02-16 00:00:00+00:00,49,49,-0.1402127019,-0.2653976
BTCUSDT,downtrend_high_vol,2022-02-17 00:00:00+00:00,2022-02-19 00:00:00+00:00,3,3,-0.05244531595,-0.05244531595
BTCUSDT,downtrend_low_vol,2022-02-20 00:00:00+00:00,2022-02-27 00:00:00+00:00,8,8,0.124762498,-0.03911195907
BTCUSDT,downtrend_high_vol,2022-02-28 00:00:00+00:00,2022-03-28 00:00:00+00:00,29,29,0.09879504113,-0.1498036901
BTCUSDT,uptrend_high_vol,2022-03-29 00:00:00+00:00,2022-03-29 00:00:00+00:00,1,1,-0.007703744319,-0.007703744319
BTCUSDT,downtrend_low_vol,2022-03-30 00:00:00+00:00,2022-04-03 00:00:00+00:00,5,5,-0.01003757449,-0.03288192939
BTCUSDT,uptrend_low_vol,2022-04-04 00:00:00+00:00,2022-04-10 00:00:00+00:00,7,7,-0.1518927286,-0.1518927286
BTCUSDT,downtrend_low_vol,2022-04-11 00:00:00+00:00,2022-04-19 00:00:00+00:00,9,9,0.04612257503,-0.03600066132
BTCUSDT,uptrend_low_vol,2022-04-20 00:00:00+00:00,2022-04-29 00:00:00+00:00,10,10,-0.08984772925,-0.08984772925
BTCUSDT,downtrend_low_vol,2022-04-30 00:00:00+00:00,2022-04-30 00:00:00+00:00,1,1,0.02195961664,0
BTCUSDT,uptrend_low_vol,2022-05-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,1,1,0.002213810955,0
BTCUSDT,downtrend_low_vol,2022-05-02 00:00:00+00:00,2022-05-02 00:00:00+00:00,1,1,-0.02109506406,-0.02109506406
