symbol,from_regime,to_regime,count,probability
BTCUSDT,downtrend_high_vol,downtrend_high_vol,331,0.9403409091
BTCUSDT,downtrend_high_vol,downtrend_low_vol,16,0.04545454545
BTCUSDT,downtrend_high_vol,uptrend_high_vol,5,0.01420454545
BTCUSDT,downtrend_low_vol,downtrend_high_vol,17,0.03413654618
BTCUSDT,downtrend_low_vol,downtrend_low_vol,451,0.90562249
BTCUSDT,downtrend_low_vol,uptrend_high_vol,2,0.004016064257
BTCUSDT,downtrend_low_vol,uptrend_low_vol,28,0.0562248996
BTCUSDT,uptrend_high_vol,downtrend_high_vol,3,0.01239669421
BTCUSDT,uptrend_high_vol,downtrend_low_vol,2,0.00826446281
BTCUSDT,uptrend_high_vol,uptrend_high_vol,219,0.9049586777
BTCUSDT,uptrend_high_vol,uptrend_low_vol,18,0.07438016529
BTCUSDT,uptrend_low_vol,downtrend_high_vol,1,0.001508295626
BTCUSDT,uptrend_low_vol,downtrend_low_vol,30,0.04524886878
BTCUSDT,uptrend_low_vol,uptrend_high_vol,16,0.02413273002
BTCUSDT,uptrend_low_vol,uptrend_low_vol,616,0.9291101056
ETHUSDT,downtrend_high_vol,downtrend_high_vol,396,0.9339622642
ETHUSDT,downtrend_high_vol,downtrend_low_vol,23,0.05424528302
ETHUSDT,downtrend_high_vol,uptrend_high_vol,4,0.009433962264
ETHUSDT,downtrend_high_vol,uptrend_low_vol,1,0.002358490566
ETHUSDT,downtrend_low_vol,downtrend_high_vol,21,0.04393305439
ETHUSDT,downtrend_low_vol,downtrend_low_vol,434,0.9079497908
ETHUSDT,downtrend_low_vol,uptrend_low_vol,23,0.04811715481
ETHUSDT,uptrend_high_vol,downtrend_high_vol,7,0.02102102102
ETHUSDT,uptrend_high_vol,uptrend_high_vol,312,0.9369369369
ETHUSDT,uptrend_high_vol,uptrend_low_vol,14,0.04204204204
ETHUSDT,uptrend_low_vol,downtrend_low_vol,22,0.04230769231
ETHUSDT,uptrend_low_vol,uptrend_high_vol,17,0.03269230769
ETHUSDT,uptrend_low_vol,uptrend_low_vol,481,0.925
