strategy,events_raw,events_kept,events_purged,family,symbol,source_file,horizon_ms,meta_symbol,meta_direction,meta_ret_threshold,meta_oi_threshold,meta_entry_delay_min,meta_exit_hold_h,meta_n_events,meta_mean_net_bp,meta_median_net_bp,meta_win_rate,meta_std_bp,meta_t_stat,meta_null_percentile,meta_edge_vs_null_bp,meta_exploratory_uncorrected_flag,meta_inference_scope,meta_year_breakdown
btc_long_ret-2_oi-1_entry0_exit4h,180,180,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry0_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.01,0.0,4.0,180.0,1.2571704146689222,5.08786902448556,0.5055555555555555,178.17268371322953,0.0946649659616452,96.5,13.245843384643942,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 9.108743299582057}, ""2024"": {""n"": 76, ""mean_bp"": 8.290931508355477}, ""2025"": {""n"": 41, ""mean_bp"": -32.225296345503025}, ""2026"": {""n"": 16, ""mean_bp"": 30.58163094316604}}"
btc_long_ret-2_oi-1_entry0_exit24h,180,162,18,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry0_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.01,0.0,24.0,180.0,57.02657906324202,37.74509993422838,0.5666666666666667,317.0731750850227,2.412981935961295,100.0,59.885198311435786,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 43.69964168237993}, ""2024"": {""n"": 76, ""mean_bp"": 83.82459811908647}, ""2025"": {""n"": 41, ""mean_bp"": 50.49350383508454}, ""2026"": {""n"": 16, ""mean_bp"": -14.37512762358319}}"
btc_long_ret-2_oi-1_entry0_exit72h,180,118,62,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry0_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.01,0.0,72.0,180.0,83.37366861824908,68.07668482106521,0.6055555555555555,471.89669474308056,2.3703813903436486,97.5,59.33636789252613,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 134.37309909706872}, ""2024"": {""n"": 76, ""mean_bp"": 75.03572981108721}, ""2025"": {""n"": 41, ""mean_bp"": 86.05831331419128}, ""2026"": {""n"": 16, ""mean_bp"": -33.71135111261692}}"
btc_long_ret-2_oi-1_entry30_exit4h,180,180,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry30_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.01,30.0,4.0,180.0,3.8975372152842063,-1.7193022259735944,0.4888888888888889,164.22633596790482,0.3184078159028261,100.0,15.742424274378106,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 20.72359637224705}, ""2024"": {""n"": 76, ""mean_bp"": -14.358133436592198}, ""2025"": {""n"": 41, ""mean_bp"": -3.795461931459004}, ""2026"": {""n"": 16, ""mean_bp"": 60.89873435164822}}"
btc_long_ret-2_oi-1_entry30_exit24h,180,162,18,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry30_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.01,30.0,24.0,180.0,63.46085708125098,29.27679661996431,0.5777777777777777,318.4608712429423,2.673536433978231,100.0,63.90715994889059,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 66.53531709845795}, ""2024"": {""n"": 76, ""mean_bp"": 75.72530420125307}, ""2025"": {""n"": 41, ""mean_bp"": 63.35066699754854}, ""2026"": {""n"": 16, ""mean_bp"": -3.5441309498169744}}"
btc_long_ret-2_oi-1_entry30_exit72h,180,118,62,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry30_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.01,30.0,72.0,180.0,91.56005946635574,65.39910096860237,0.6111111111111112,473.3280603121328,2.595255183337542,96.5,66.7253855128997,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 154.32358691868015}, ""2024"": {""n"": 76, ""mean_bp"": 65.1761792002836}, ""2025"": {""n"": 41, ""mean_bp"": 104.5305803633928}, ""2026"": {""n"": 16, ""mean_bp"": -0.7213309596619695}}"
btc_long_ret-2_oi-1_entry60_exit4h,180,180,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry60_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.01,60.0,4.0,180.0,4.008454921336758,0.3415310058936374,0.5055555555555555,161.81881030515717,0.3323412527363109,99.0,15.97481808476871,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 22.79122994021906}, ""2024"": {""n"": 76, ""mean_bp"": -3.065823917863845}, ""2025"": {""n"": 41, ""mean_bp"": -17.49757739154626}, ""2026"": {""n"": 16, ""mean_bp"": 37.54608559133557}}"
btc_long_ret-2_oi-1_entry60_exit24h,180,162,18,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry60_exit24h.csv,86400000,BTCUSDT,long,-0.02,-0.01,60.0,24.0,180.0,53.03292566972259,22.746523088492243,0.5444444444444444,304.3896307653565,2.3375019683493727,99.5,53.39925508756766,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 55.79862522514912}, ""2024"": {""n"": 76, ""mean_bp"": 69.07165828840658}, ""2025"": {""n"": 41, ""mean_bp"": 51.49079065275923}, ""2026"": {""n"": 16, ""mean_bp"": -27.323575732123174}}"
btc_long_ret-2_oi-1_entry60_exit72h,180,118,62,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-1_entry60_exit72h.csv,259200000,BTCUSDT,long,-0.02,-0.01,60.0,72.0,180.0,83.22458855187641,83.38454737246994,0.5888888888888889,471.0910402363638,2.3701894730336024,96.5,58.16334709871222,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 47, ""mean_bp"": 141.03485044140325}, ""2024"": {""n"": 76, ""mean_bp"": 64.81073264597256}, ""2025"": {""n"": 41, ""mean_bp"": 99.37645064324175}, ""2026"": {""n"": 16, ""mean_bp"": -40.51638680468943}}"
btc_long_ret-2_oi-2_entry0_exit4h,121,121,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oi-2_entry0_exit4h.csv,14400000,BTCUSDT,long,-0.02,-0.02,0.0,4.0,121.0,11.731050605017304,20.517688515065537,0.5371900826446281,157.1544335559034,0.8211130525266876,100.0,22.61342121782229,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 42, ""mean_bp"": 10.248224385803397}, ""2024"": {""n"": 47, ""mean_bp"": 3.6714900367561856}, ""2025"": {""n"": 25, ""mean_bp"": 7.419906165449952}, ""2026"": {""n"": 7, ""mean_bp"": 90.13914473422311}}"
