strategy,family,symbol,fold_year,fold_type,horizon_ms,train_events,train_months,test_events,test_months,train_eligible,test_eligible,train_mean_bp,train_ci_low_bp,train_ci_high_bp,train_p_positive,train_p_two_sided,test_mean_bp,test_ci_low_bp,test_ci_high_bp,test_p_positive,test_p_two_sided,train_bh_q,train_by_q,train_family_bh_q,train_family_by_q,test_bh_q,test_by_q,test_family_bh_q,test_family_by_q,primary_selection,oos_positive,oos_survives_selection,oos_fdr_significant,selected_oos_fdr_significant,monitoring_only
btc_long_ret-2_oi-1_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,123,24,41,12,True,True,8.603428696872955,-27.460208314141056,45.62256990262745,0.3008495752123938,0.657671164417791,-32.225296345503025,-86.00311242267266,14.503339981281256,0.8970514742628686,0.20239880059970014,0.6587022278334517,1.0,0.6716641679160419,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oi-1_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,107,24,39,12,True,True,49.343463875141914,-10.816890858305557,102.33995526512116,0.04247876061969016,0.0864567716141929,68.38212067860728,9.909473573582597,136.87345953170598,0.02948525737131434,0.03698150924537731,0.2208895552223888,1.0,0.20912620612770538,1.0,0.4976886556721639,1.0,0.48955522238880556,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-1_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,78,24,26,12,True,True,71.10823613487815,-14.866758237148435,158.3462169673293,0.057971014492753624,0.11894052973513243,73.18062188901537,-101.33183718284276,220.25178708832092,0.18190904547726136,0.367816091954023,0.24115942028985507,1.0,0.2271517302573203,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,123,24,41,12,True,True,-0.9529196071983348,-26.6032099050006,23.275134178750736,0.5337331334332833,0.9370314842578711,-3.7954619314590072,-49.22729246452834,40.10907353924009,0.5727136431784108,0.872063968015992,0.9653607978619386,1.0,0.9949200157202951,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,107,24,39,12,True,True,57.35692152337272,-0.5964452801045277,108.91996258650649,0.014492753623188406,0.03498250874562719,88.08769634609517,32.58891455190289,165.2100663522474,0.009495252373813094,0.009495252373813094,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,0.30503498250874567,1.0,0.32148211608481475,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,78,24,26,12,True,True,78.27198501395792,-19.35663116383928,171.7117012058575,0.06046976511744128,0.10394802598700649,82.7663046862052,-55.60246438973742,199.82490130194319,0.11394302848575712,0.24587706146926536,0.24187906046976512,1.0,0.22765088044213186,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,123,24,41,12,True,True,6.814513735224745,-23.20423264704075,33.17303820714631,0.3218390804597701,0.6516741629185407,-17.49757739154626,-50.40946834985315,17.499233014695374,0.8325837081459271,0.312343828085957,0.6787806096951524,1.0,0.7021943573667712,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,107,24,39,12,True,True,57.63167322657423,4.443983374622559,101.95161078703828,0.006496751624187906,0.02448775612193903,69.4846054227079,9.518885098462466,142.315721724596,0.028985507246376812,0.04297851074462768,0.1199400299850075,0.7097038278383655,0.1107138738323146,0.6462715286955529,0.4976886556721639,1.0,0.48955522238880556,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,78,24,26,12,True,True,76.55583813534861,-11.720960283539887,169.304842722635,0.047476261869065464,0.09095452273863068,77.20059018007017,-81.36647469298815,211.34024429244255,0.15692153923038482,0.3053473263368316,0.22965261555268876,1.0,0.21703433997287072,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,89,24,25,11,True,True,6.775117482373969,-28.733258168467117,47.156145836581146,0.367816091954023,0.7436281859070465,7.419906165449952,-41.479784768783496,49.911938540093566,0.36231884057971014,0.7531234382808596,0.7306061255086742,1.0,0.7533254649271108,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
